,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,schoolName,latitude,longitude,headOfficialName,freeAndReducedPriceLunch,idea,plan504,percentTeachersInFirstSecondYear,"White, non-Hispanic","Black, non-Hispanic",Hispanic,Multiracial,Asian,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander
0,527,Blackshear Elementary School,public,PK-5,302.0,8.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"1712 East 11th Street,  Austin, TX  78702",(512) 414-2021,(512) 477-7640,http://www.blackshearyellowjackets.org/,480894000300,30.266968,-97.72216999999999,Blackshear Elementary School,30.266968,-97.72216999999999,MR RICHARD GARNER,81.1,8.4,4.2,15.0,9.97,27.84,57.39,3.09,0.69,1.03,0.0
1,532,Bryker Woods Elementary School,public,PK-6,400.0,9.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"3309 Kerbey Lane,  Austin, TX  78703",(512) 414-2054,(512) 459-9047,https://brykerwoodspta.org/,480894000305,30.304869,-97.750626,Bryker Woods Elementary School,30.304869,-97.750626,MS KRISTINA MUEHLING,9.75,6.1,4.2,3.8,68.25,1.75,20.75,5.0,4.0,0.25,0.0
2,535,Casis Elementary School,public,PK-5,793.0,10.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"2710 Exposition Boulevard,  Austin, TX  78703",(512) 414-2062,(512) 477-1776,http://casiselementary.com/,480894000308,30.304344,-97.76505,Casis Elementary School,30.304344,-97.76505,MR SAMUEL TINNON,2.14,6.2,6.1,5.9,79.32,1.26,10.84,5.17,3.15,0.13,0.13
3,557,Maplewood Elementary School,public,PK-6,480.0,4.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"3808 Maplewood Avenue,  Austin, TX  78722",(512) 414-4402,(512) 472-8559,www.maplewoodelementary.com,480894000330,30.293337,-97.714905,Maplewood Elementary School,30.293337,-97.714905,MS VICKIE JACOBSON,43.07,10.5,6.0,6.7,38.1,17.97,33.55,8.23,2.16,0.0,0.0
4,559,Mathews Elementary School,public,PK-6,425.0,8.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"906 West Lynn Street,  Austin, TX  78703",(512) 414-4406,(512) 476-2108,https://www.mathews360.com/,480894000332,30.278215000000003,-97.760796,Mathews Elementary School,30.278215000000003,-97.760796,G MARTINO-BREWSTER,36.0,4.4,4.2,3.6,44.0,5.18,35.76,5.65,8.94,0.24,0.24
5,562,Metz Elementary School,public,PK-5,305.0,3.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"84 Robert Martinez Junior Street,  Austin, TX  78702",(512) 414-4408,(512) 472-3412,http://www.metzelem.tx.aie.schoolinsites.com/,480894000335,30.254284000000002,-97.721725,Metz Elementary School,30.254284000000002,-97.721725,MS MARTHA CASTILLO,86.89,7.3,6.5,8.8,1.31,7.21,85.9,0.98,4.59,0.0,0.0
6,567,Oak Springs Elementary School,public,PK-5,333.0,3.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"3601 Webberville Road,  Austin, TX  78702",(512) 414-4413,(512) 472-5005,,480894000340,30.271786,-97.70484,Oak Springs Elementary School,30.271786,-97.70484,MS MONICA WOODS,94.59,15.7,6.8,22.7,3.6,30.33,63.66,0.9,1.5,0.0,0.0
7,569,Ortega Elementary School,public,PK-5,316.0,5.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"1135 Garland Avenue,  Austin, TX  78721",(512) 414-4417,(512) 929-7906,http://ortegaelementary.weebly.com/,480894000342,30.269996999999996,-97.68428,Ortega Elementary School,30.269996999999996,-97.68428,JENNIFER STEPHENS,89.56,10.2,5.7,0.0,3.8,10.44,83.54,2.22,0.0,0.0,0.0
8,580,Sims Elementary School,public,PK-6,267.0,3.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"1203 Springdale Road,  Austin, TX  78721",(512) 414-4488,(512) 841-1282,,480894000356,30.27941,-97.6854,Sims Elementary School,30.27941,-97.6854,,94.01,6.5,5.2,0.0,4.12,35.58,59.18,1.12,0.0,0.0,0.0
9,591,Zavala Elementary School,public,PK-6,350.0,4.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"310 Robert Martinez Junior Street,  Austin, TX  78702",(512) 414-2318,(512) 477-2361,https://www.austinisd.org/schools/zavala,480894000368,30.258271999999998,-97.71954000000001,Zavala Elementary School,30.258271999999998,-97.71954000000001,JOSE MEJIA,97.12,16.3,2.4,6.2,2.36,14.14,79.84,0.79,2.88,0.0,0.0
10,595,Davis Elementary School,public,PK-5,798.0,6.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"5214 Duval Road,  Austin, TX  78727",(512) 414-2580,(512) 346-7384,http://www.austinisd.org/,480894002775,30.418246999999997,-97.74218,Davis Elementary School,30.418246999999997,-97.74218,MS JENNIFER DANIELS,,7.2,4.0,9.0,47.49,6.39,25.44,6.77,13.41,0.13,0.38
11,598,Rosedale,public,PK-12,263.0,,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"2117 West 49th Street,  Austin, TX  78756",(512) 414-3617,(512) 458-6754,,480894005396,30.320051,-97.74019,Rosedale,30.320051,-97.74019,MS ELIZABETH DICKEY,24.71,100.0,0.0,8.1,45.25,8.75,39.92,2.28,3.42,0.0,0.38
12,618,Garza Independence High School,public,9-12,192.0,,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"1600 Chicon Street,  Austin, TX  78702",(512) 414-8600,(512) 414-8615,,480894008060,30.277237,-97.72139,Garza Independence High School,30.277237,-97.72139,DR LINDA WEBB,29.17,6.8,11.6,9.5,44.27,6.25,43.75,5.73,0.0,0.0,0.0
13,10787,Clayton Elementary School,public,PK-5,876.0,10.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"7525 La Crosse Avenue,  Austin, TX  78739",(512) 841-9200,,http://claytoncardinals.org/,480894011061,30.194855,-97.906334,Clayton Elementary School,30.194855,-97.906334,AMY GONLAZES,1.6,9.0,4.5,3.7,67.35,0.68,13.81,3.88,14.27,0.0,0.0
14,18841,Alternative Learning Center,public,6-12,116.0,,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"900 Neal Street,  Austin, TX  78702",(512) 414-2554,(512) 476-2809,http://aisdalc.org/,480894009076,30.268434999999997,-97.71007,Alternative Learning Center,30.268434999999997,-97.71007,MS TRACILYNN WRIGHT,81.03,28.1,9.0,4.5,8.62,13.79,75.86,1.72,0.0,0.0,0.0
15,20409,Webb Primary Center,public,PK-5,217.0,3.0,5.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"601 East Saint Johns Avenue,  Austin, TX  78752",(512) 414-8831,(512) 452-9683,,480894012842,30.332413,-97.70740500000001,Webb Primary Center,30.332413,-97.70740500000001,RAUL SANCHEZ,97.24,,,,1.38,3.69,94.01,0.92,0.0,0.0,0.0
16,520,Anderson High School,public,9-12,2270.0,8.0,4.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"8403 Mesa Drive,  Austin, TX  78759",(512) 414-2538,(512) 338-1293,http://andersononline.org/,480894000292,30.37575,-97.75371,Anderson High School,30.37575,-97.75371,MS SAMMILU HARRISON,22.82,7.8,8.0,3.3,50.84,5.9,32.11,3.83,7.09,0.18,0.04
17,521,Andrews Elementary School,public,PK-6,657.0,4.0,4.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"6801 Northeast Drive,  Austin, TX  78723",(512) 414-1770,(512) 926-6635,http://archive.austinisd.org/schools/details.phtml?id=043,480894000293,30.317553999999998,-97.679665,Andrews Elementary School,30.317553999999998,-97.679665,MS GABRIELA SOTO,95.96,9.2,5.7,11.6,3.7,13.47,79.97,0.17,2.53,0.17,0.0
18,522,Austin High School,public,9-12,2084.0,7.0,4.0,Austin,TX,115.0,Austin Independent School District,4808940.0,"1715 West Cesar Chavez Street,  Austin, TX  78703",(512) 414-2505,(512) 474-7935,,480894000294,30.273598,-97.76814,Austin High School,30.273598,-97.76814,MS AMY TAYLOR,28.65,11.2,7.2,10.9,45.92,4.8,44.19,2.98,1.92,0.1,0.1
