,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,schoolName,latitude,longitude,headOfficialName,freeAndReducedPriceLunch,idea,plan504,percentTeachersInFirstSecondYear,"White, non-Hispanic","Black, non-Hispanic",Hispanic,Multiracial,Asian,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander
0,527,Blackshear Elementary School,public,PK-5,302,8,5,Austin,TX,115,Austin Independent School District,4808940,"1712 East 11th Street,  Austin, TX  78702",(512) 414-2021,(512) 477-7640,http://www.blackshearyellowjackets.org/,480894000300,30.266968,-97.72217,Blackshear Elementary School,30.266968,-97.72217,MR RICHARD GARNER,81.1,8.4,4.2,15,9.97,27.84,57.39,3.09,0.69,1.03,0.0
1,532,Bryker Woods Elementary School,public,PK-6,400,9,5,Austin,TX,115,Austin Independent School District,4808940,"3309 Kerbey Lane,  Austin, TX  78703",(512) 414-2054,(512) 459-9047,https://brykerwoodspta.org/,480894000305,30.304869,-97.750626,Bryker Woods Elementary School,30.304869,-97.750626,MS KRISTINA MUEHLING,9.75,6.1,4.2,3.8,68.25,1.75,20.75,5.0,4.0,0.25,0.0
2,535,Casis Elementary School,public,PK-5,793,10,5,Austin,TX,115,Austin Independent School District,4808940,"2710 Exposition Boulevard,  Austin, TX  78703",(512) 414-2062,(512) 477-1776,http://casiselementary.com/,480894000308,30.304344,-97.76505,Casis Elementary School,30.304344,-97.76505,MR SAMUEL TINNON,2.14,6.2,6.1,5.9,79.32,1.26,10.84,5.17,3.15,0.13,0.13
3,557,Maplewood Elementary School,public,PK-6,480,4,5,Austin,TX,115,Austin Independent School District,4808940,"3808 Maplewood Avenue,  Austin, TX  78722",(512) 414-4402,(512) 472-8559,www.maplewoodelementary.com,480894000330,30.293337,-97.714905,Maplewood Elementary School,30.293337,-97.714905,MS VICKIE JACOBSON,43.07,10.5,6,6.7,38.1,17.97,33.55,8.23,2.16,0.0,0.0
4,559,Mathews Elementary School,public,PK-6,425,8,5,Austin,TX,115,Austin Independent School District,4808940,"906 West Lynn Street,  Austin, TX  78703",(512) 414-4406,(512) 476-2108,https://www.mathews360.com/,480894000332,30.278215,-97.760796,Mathews Elementary School,30.278215,-97.760796,G MARTINO-BREWSTER,36.0,4.4,4.2,3.6,44.0,5.18,35.76,5.65,8.94,0.24,0.24
5,562,Metz Elementary School,public,PK-5,305,3,5,Austin,TX,115,Austin Independent School District,4808940,"84 Robert Martinez Junior Street,  Austin, TX  78702",(512) 414-4408,(512) 472-3412,http://www.metzelem.tx.aie.schoolinsites.com/,480894000335,30.254284,-97.721725,Metz Elementary School,30.254284,-97.721725,MS MARTHA CASTILLO,86.89,7.3,6.5,8.8,1.31,7.21,85.9,0.98,4.59,0.0,0.0
6,567,Oak Springs Elementary School,public,PK-5,333,3,5,Austin,TX,115,Austin Independent School District,4808940,"3601 Webberville Road,  Austin, TX  78702",(512) 414-4413,(512) 472-5005,,480894000340,30.271786,-97.70484,Oak Springs Elementary School,30.271786,-97.70484,MS MONICA WOODS,94.59,15.7,6.8,22.7,3.6,30.33,63.66,0.9,1.5,0.0,0.0
7,569,Ortega Elementary School,public,PK-5,316,5,5,Austin,TX,115,Austin Independent School District,4808940,"1135 Garland Avenue,  Austin, TX  78721",(512) 414-4417,(512) 929-7906,http://ortegaelementary.weebly.com/,480894000342,30.269997,-97.68428,Ortega Elementary School,30.269997,-97.68428,JENNIFER STEPHENS,89.56,10.2,5.7,0,3.8,10.44,83.54,2.22,0.0,0.0,0.0
8,580,Sims Elementary School,public,PK-6,267,3,5,Austin,TX,115,Austin Independent School District,4808940,"1203 Springdale Road,  Austin, TX  78721",(512) 414-4488,(512) 841-1282,,480894000356,30.27941,-97.6854,Sims Elementary School,30.27941,-97.6854,,94.01,6.5,5.2,0,4.12,35.58,59.18,1.12,0.0,0.0,0.0
9,591,Zavala Elementary School,public,PK-6,350,4,5,Austin,TX,115,Austin Independent School District,4808940,"310 Robert Martinez Junior Street,  Austin, TX  78702",(512) 414-2318,(512) 477-2361,https://www.austinisd.org/schools/zavala,480894000368,30.258272,-97.71954,Zavala Elementary School,30.258272,-97.71954,JOSE MEJIA,97.12,16.3,2.4,6.2,2.36,14.14,79.84,0.79,2.88,0.0,0.0
