FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
1,40710,Socorro ISD,Socorro,71909,071-909,071909,4840710,6,344391574.286,107986.409165,480111056.785156,127681.492695691
2,13920,Chilton ISD,Chilton,73901,073-901,073901,4813920,4,229408644.148,111898.21548,316601651.074219,131412.987687699
3,11250,Bremond ISD,Bremond,198901,198-901,198901,4811250,2,475053666.637,143568.863312,653478275.621094,168346.228965366
4,30180,Memphis ISD,Memphis,96904,096-904,096904,4830180,7,1729846858.84,245240.220726,2560446421.56641,298274.190506487
5,34380,Patton Springs ISD,Patton Springs,63906,063-906,063906,4834380,1,1007703765.65,147094.679366,1463564346.64453,177193.365160488
6,00002,Spur ISD,Spur,63903,063-903,063903,4800002,5,1369828027.98,214386.521595,1981968909.39844,257964.216363668
7,40080,Sherman ISD,Sherman,91906,091-906,091906,4840080,5,197709455.384,105071.026179,286692099.121094,126543.019016092
8,38400,S and S Cons ISD,S and S Cons,91914,091-914,091914,4838400,3,335206119.402,131864.234159,486224937.40625,158783.831093755
9,35580,Pottsboro ISD,Pottsboro,91913,091-913,091913,4835580,2,249647800.361,106176.463611,363157661.066406,128053.514898187
10,44730,Waxahachie ISD,Waxahachie,70912,070-912,070912,4844730,2,493351217.549,132462.764884,695994915.953125,157336.666271597
11,36660,Red Oak ISD,Red Oak,70911,070-911,070911,4836660,7,95485784.1898,61217.6064092,135171118.664063,72792.9344224495
12,34110,Palmer ISD,Palmer,70910,070-910,070910,4834110,3,142223241.866,74237.0269128,201003858.402344,88249.4813569825
13,30600,Midlothian ISD,Midlothian,70908,070-908,070908,4830600,1,291479290.413,83339.8365519,412263057.761719,99103.3501153452
14,18540,Ennis ISD,Ennis,70903,070-903,070903,4818540,1,672116521.529,191109.311926,947490327.53125,226899.852168384
15,16710,Denison ISD,Denison,91903,091-903,091903,4816710,6,251289220.477,113770.470729,365295396.636719,137169.65626238
16,09780,Bells ISD,Bells,91901,091-901,091901,4809780,4,150884466.65,75277.7035077,218795648.929688,90674.6916602196
17,45630,Whitesboro ISD,Whitesboro,91909,091-909,091909,4845630,4,446895695.748,165294.776941,649937853.589844,199390.318228041
18,14580,Collinsville ISD,Collinsville,91902,091-902,091902,4814580,6,136036422.1,72181.3063804,196896746.433594,86837.3493276782
19,18750,Evadale ISD,Evadale,121906,121-906,121906,4818750,4,72443893.3994,56747.6949612,97922733.2421875,65972.0282797736
20,12090,Buna ISD,Buna,121903,121-903,121903,4812090,5,567237929.658,135730.193413,768339395.675781,158014.552581165
21,39300,Santa Gertrudis ISD,Santa Gertrudis,137904,137-904,137904,4839300,4,511554140.997,125359.264765,651290545.617188,141537.457932781
22,37320,Riviera ISD,Riviera,137903,137-903,137903,4837320,7,1854708431.99,242112.669729,2362991121.32227,273029.973795566
23,36930,Ricardo ISD,Ricardo,137902,137-902,137902,4836930,2,208001920.147,72905.2015852,265020261.369141,82262.3684751953
24,25680,Kingsville ISD,Kingsville,137901,137-901,137901,4825680,5,267278045.971,118043.162695,341509595.337891,133418.437483154
25,08490,Apple Springs ISD,Apple Springs,228905,228-905,228905,4808490,7,288851851.674,116383.333954,398332113.824219,136656.333841493
26,43200,Trinity ISD,Trinity,228903,228-903,228903,4843200,6,409513222.75,137033.708804,561071915.601563,160323.882275446
27,25470,Kennard ISD,Kennard,113906,113-906,113906,4825470,5,851362431.438,206965.396374,1177162099.70313,243355.781764992
28,33840,Ore City ISD,Ore City,230903,230-903,230903,4833840,5,181287173.884,95633.2122072,258275185.984375,114101.63503115
29,24730,Jefferson ISD,Jefferson,155901,155-901,155901,4824730,7,1041337032.93,224521.431212,1482969566.58984,267728.085387704
30,09090,Avinger ISD,Avinger,34902,034-902,034902,4809090,6,181813796.659,84511.5165443,259554145.261719,100920.457451435
31,34550,Pecos-Barstow-Toyah ISD,Pecos-Barstow-Toyah,195901,195-901,195901,4834550,6,5839050194.17,482766.018401,8071717603.64453,567956.965478282
32,09330,Balmorhea ISD,Balmorhea,195902,195-902,195902,4809330,3,1369243353.84,176521.313753,1881733505.96875,206882.92162169
33,42420,Terrell County ISD,Terrell County,222901,222-901,222901,4842420,4,6083158711.76,398496.57668,8207689941.40625,462969.609100921
34,17100,Dilley ISD,Dilley,82902,082-902,082902,4817100,4,883913286.505,166648.043098,1155738696.82813,190615.350699228
35,41250,Springlake-Earth ISD,Springlake-Earth,140907,140-907,140907,4841250,6,509293699.724,110250.778227,748887893.910156,133667.830720421
36,35490,Post ISD,Post,85902,085-902,085902,4835490,5,2035904010.36,217055.981651,2921443891.21484,259988.513978988
37,42090,Tahoka ISD,Tahoka,153904,153-904,153904,4842090,4,938949042.104,189382.444094,1347372764.38672,226840.617907156
38,33390,O'Donnell ISD,O'Donnell,153903,153-903,153903,4833390,3,840397611.51,179910.849979,1201416843.04688,215084.704058858
39,16350,Dawson ISD (Dawson),Dawson (Dawson),58902,058-902,058902,4816350,4,356488702.349,85458.4450126,509039582.503906,102125.62554175
40,40290,Silverton ISD,Silverton,23902,023-902,023902,4840290,3,1434089628.31,169362.341975,2119497763.22266,205968.424987672
