PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Black or African American",222
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Asian",76
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Hispanic",2084
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Native Hawaiian/Other or Pacific Islander",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Two or More Races",41
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"White",285
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Black or African American",22
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Asian",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Hispanic",519
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Two or More Races",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"White",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Black or African American",16
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Asian",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Hispanic",88
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Two or More Races",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"White",10
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Black or African American",134
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Asian",161
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Hispanic",729
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Native Hawaiian/Other or Pacific Islander",-9999999
