PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Black or African American",193
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Asian",71
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Hispanic",2137
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Two or More Races",54
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","White",303
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Black or African American",23
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Hispanic",450
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","White",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Black or African American",13
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Hispanic",75
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","White",11
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Black or African American",125
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","American Indian or Alaska Native",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Asian",199
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Hispanic",680
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Two or More Races",93
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","White",1115
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Black or African American",64
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Asian",15
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Hispanic",410
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Two or More Races",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","White",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Black or African American",97
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Asian",44
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Hispanic",948
