,address,enrollment,gradeRange,gsId,gsRating,lat,level_0,lon,name,ncesId,parentRating,type
0,"1712 East 11th Street, 
Austin, TX  78702",302,PK-5,527,8,30.266968,0.0,-97.72217,Blackshear Elementary School,480894000300,5,public
1,"3309 Kerbey Lane, 
Austin, TX  78703",400,PK-6,532,9,30.304869,1.0,-97.750626,Bryker Woods Elementary School,480894000305,5,public
2,"2710 Exposition Boulevard, 
Austin, TX  78703",793,PK-5,535,10,30.304344,2.0,-97.76505,Casis Elementary School,480894000308,5,public
3,"3808 Maplewood Avenue, 
Austin, TX  78722",480,PK-6,557,4,30.293337,3.0,-97.714905,Maplewood Elementary School,480894000330,5,public
4,"906 West Lynn Street, 
Austin, TX  78703",425,PK-6,559,8,30.278215,4.0,-97.760796,Mathews Elementary School,480894000332,5,public
5,"84 Robert Martinez Junior Street, 
Austin, TX  78702",305,PK-5,562,3,30.254284,5.0,-97.721725,Metz Elementary School,480894000335,5,public
6,"3601 Webberville Road, 
Austin, TX  78702",333,PK-5,567,3,30.271786,6.0,-97.70484,Oak Springs Elementary School,480894000340,5,public
7,"1135 Garland Avenue, 
Austin, TX  78721",316,PK-5,569,5,30.269997,7.0,-97.68428,Ortega Elementary School,480894000342,5,public
8,"1203 Springdale Road, 
Austin, TX  78721",267,PK-6,580,3,30.27941,8.0,-97.6854,Sims Elementary School,480894000356,5,public
9,"310 Robert Martinez Junior Street, 
Austin, TX  78702",350,PK-6,591,4,30.258272,9.0,-97.71954,Zavala Elementary School,480894000368,5,public
10,"5214 Duval Road, 
Austin, TX  78727",798,PK-5,595,6,30.418247,10.0,-97.74218,Davis Elementary School,480894002775,5,public
11,"2117 West 49th Street, 
Austin, TX  78756",263,PK-12,598,,30.320051,11.0,-97.74019,Rosedale,480894005396,5,public
12,"1600 Chicon Street, 
Austin, TX  78702",192,9-12,618,,30.277237,12.0,-97.72139,Garza Independence High School,480894008060,5,public
13,"3301 Pinnacle Road, 
Austin, TX  78746",473,K-5,2201,9,30.269161,13.0,-97.80487,Cedar Creek Elementary School,481776001546,5,public
14,"360 Loop Court, 
Austin, TX  78746",509,K-5,2205,9,30.302923,14.0,-97.83261,Valley View Elementary School,481776005699,5,public
15,"6401 Cedar Street, 
Austin, TX  78746",739,K-5,2208,10,30.340866,15.0,-97.80639,Bridge Point El,481776007742,5,public
16,"3322 Ranch Road 620 South, 
Austin, TX  78738",716,PK-5,4156,9,30.327839,16.0,-97.96536,Lakeway Elementary School,482647002520,5,public
17,"14014 Thermal Drive, 
Austin, TX  78728",540,PK-5,5412,3,30.431906,17.0,-97.67626,Northwest Elementary School,483483006310,5,public
18,"10210 Ember Glen Drive, 
Austin, TX  78726",417,PK-5,5901,10,30.436604,18.0,-97.82424,Canyon Creek Elementary School,483808008087,5,public
19,"1100 West 45th Street, 
Austin, TX  78756",153,1-12,9367,1,30.314978,19.0,-97.73932,Texas School For The Blind,480025209536,5,public
20,"7525 La Crosse Avenue, 
Austin, TX  78739",876,PK-5,10787,10,30.194855,20.0,-97.906334,Clayton Elementary School,480894011061,5,public
21,"11501 Staked Plains Drive, 
Austin, TX  78717",796,PK-5,11215,9,30.497648,21.0,-97.7935,Rutledge Elementary School,482703011113,5,public
22,"900 Neal Street, 
Austin, TX  78702",116,6-12,18841,,30.268435,22.0,-97.71007,Alternative Learning Center,480894009076,5,public
23,"12900 Tierra Grande Trail, 
Austin, TX  78732",784,PK-5,18850,10,30.34612,23.0,-97.91629,River Ridge Elementary School,482703011991,5,public
24,"9700 McNeil Drive, 
Austin, TX  78750",741,6-8,19876,9,30.3975,24.0,-97.829254,Four Points Middle School,482703012381,5,public
25,"601 East Saint Johns Avenue, 
Austin, TX  78752",217,PK-5,20409,3,30.332413,25.0,-97.707405,Webb Primary Center,480894012842,5,public
