"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"2014-2015","NOT APPLICABLE",227901000,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",21,0,0,0,0,0,21,0,0,0,0,0,0
"2014-2015","AUSTIN H S",227901002,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2085,161,1109,53,0,51,599,11,792,0,0,183,143
"2014-2015","LANIER H S",227901004,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1619,52,1048,530,0,517,1386,1619,1220,-9999999,9,200,122
"2014-2015","MCCALLUM H S",227901005,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1648,261,776,65,0,58,524,33,677,0,0,157,106
"2014-2015","REAGAN H S",227901006,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1229,96,847,354,0,346,1012,1229,879,0,6,159,76
"2014-2015","TRAVIS H S",227901007,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1329,83,861,305,0,288,1138,1329,1019,0,0,200,150
"2014-2015","CROCKETT H S",227901008,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1498,125,639,149,0,142,993,19,847,6,-9999999,231,137
"2014-2015","ANDERSON H S",227901009,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2224,205,1106,109,0,100,594,11,718,15,0,147,104
"2014-2015","ALTERNATIVE LEARNING CENTER",227901012,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",166,9,-9999999,36,0,36,134,9,166,0,-9999999,31,14
"2014-2015","BOWIE H S",227901013,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2871,257,1858,41,0,35,408,-9999999,729,-9999999,0,215,139
"2014-2015","LBJ HIGH SCHOOL",227901014,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",853,77,684,150,0,139,711,853,572,0,0,114,74
"2014-2015","GARZA INDEPENDENCE H S",227901015,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",190,7,35,8,0,7,79,15,150,0,0,9,10
"2014-2015","AKINS H S",227901017,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2667,195,2087,322,0,298,1847,11,1555,7,-9999999,289,221
"2014-2015","LASA H S",227901018,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1002,502,549,0,0,0,119,0,41,0,0,9,12
"2014-2015","EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",625,33,399,144,0,142,553,625,500,0,0,110,82
"2014-2015","PREMIER H S AT TRAVIS",227901025,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",133,0,-9999999,28,0,27,92,-9999999,127,0,-9999999,12,7
"2014-2015","PREMIER H S AT LANIER",227901026,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",122,0,-9999999,45,0,44,76,-9999999,113,0,0,16,5
"2014-2015","TRAVIS COUNTY DAY SCHOOL",227901027,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",15,0,0,-9999999,0,-9999999,7,0,15,0,0,7,-9999999
"2014-2015","RICHARDS SCH FOR YOUNG WOMEN LEADE",227901028,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",764,235,764,20,0,20,451,0,94,-9999999,-9999999,7,7
"2014-2015","INTERNATIONAL H S",227901029,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",368,0,0,356,0,356,343,10,356,0,0,-9999999,0
"2014-2015","TRAVIS COUNTY JUVENILE DETENTION C",227901030,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",58,0,0,10,0,9,34,0,58,0,0,16,7
"2014-2015","PHOENIX ACADEMY",227901032,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",32,0,0,-9999999,0,-9999999,-9999999,0,32,0,0,5,-9999999
"2014-2015","LEADERSHIP ACADEMY",227901035,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",39,0,0,12,0,12,15,0,39,0,0,13,-9999999
"2014-2015","TRAVIS COUNTY J J A E P",227901036,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",-9999999,0,0,-9999999,0,-9999999,-9999999,-9999999,-9999999,0,0,0,-9999999
"2014-2015","FULMORE M S",227901043,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",952,223,278,217,0,210,684,952,442,0,0,124,81
"2014-2015","KEALING M S",227901044,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1188,498,316,76,0,74,395,1188,262,0,0,97,44
"2014-2015","LAMAR M S",227901045,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",895,102,577,57,0,55,307,6,289,0,0,93,46
"2014-2015","BURNET M S",227901046,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1138,53,565,538,0,534,1056,1138,835,0,-9999999,159,74
"2014-2015","O HENRY M S",227901047,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",891,97,331,55,0,54,265,-9999999,249,6,0,82,81
"2014-2015","MARTIN M S",227901051,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",555,22,257,167,0,158,521,555,417,0,0,107,70
"2014-2015","MURCHISON M S",227901052,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1363,113,683,104,0,104,378,7,403,-9999999,0,119,64
"2014-2015","WEBB M S",227901053,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",691,34,340,322,0,321,670,691,524,0,0,117,56
"2014-2015","BEDICHEK M S",227901054,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",969,72,575,204,0,196,807,969,565,-9999999,0,166,108
"2014-2015","DOBIE M S",227901055,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",691,23,302,270,0,266,633,691,463,0,0,120,50
"2014-2015","COVINGTON M S",227901057,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",634,40,271,105,0,100,412,-9999999,319,-9999999,0,113,66
"2014-2015","MENDEZ M S",227901058,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",842,40,402,338,0,328,801,842,642,-9999999,0,110,81
"2014-2015","BAILEY M S",227901059,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",917,59,390,37,0,33,300,11,311,5,0,98,76
"2014-2015","SMALL M S",227901060,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1003,110,597,66,0,61,323,10,301,-9999999,0,108,62
"2014-2015","PAREDES M S",227901061,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1032,52,373,203,0,193,759,1032,585,-9999999,0,133,90
"2014-2015","GORZYCKI MIDDLE",227901062,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1330,185,584,25,0,22,61,-9999999,148,0,0,105,85
"2014-2015","SCHOOL FOR YOUNG MEN",227901064,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",391,23,294,151,0,148,377,166,290,0,-9999999,80,58
"2014-2015","SADLER MEANS YWLA",227901065,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",341,16,259,140,0,139,319,166,262,0,0,41,28
"2014-2015","ALLISON EL",227901101,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",487,-9999999,0,207,185,18,466,487,350,0,0,41,13
"2014-2015","ANDREWS EL",227901102,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",657,12,0,458,411,46,640,657,562,0,0,63,11
"2014-2015","BARTON HILLS EL",227901103,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",419,17,0,8,0,6,34,-9999999,77,0,0,19,6
"2014-2015","BECKER EL",227901104,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",344,41,0,64,200,-9999999,169,344,154,0,-9999999,23,7
"2014-2015","BLACKSHEAR EL",227901105,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",276,14,0,86,34,51,252,276,167,0,0,30,18
"2014-2015","BLANTON EL",227901106,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",542,19,0,329,361,12,472,542,405,0,0,49,15
"2014-2015","BRENTWOOD EL",227901107,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",581,44,0,67,39,22,173,-9999999,198,5,7,61,30
"2014-2015","BROOKE EL",227901108,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",347,-9999999,0,117,96,20,317,347,218,0,0,44,10
"2014-2015","BROWN EL",227901109,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",411,12,0,276,258,18,392,411,330,-9999999,-9999999,40,10
"2014-2015","BRYKER WOODS EL",227901110,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",393,23,0,7,-9999999,5,40,-9999999,67,-9999999,0,23,12
"2014-2015","CAMPBELL EL",227901111,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",253,-9999999,0,57,49,6,243,253,149,-9999999,0,32,7
"2014-2015","CASIS EL",227901112,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",806,30,0,12,-9999999,10,23,0,124,0,0,51,33
"2014-2015","CUNNINGHAM EL",227901113,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",405,14,0,67,90,12,278,36,220,0,-9999999,72,20
"2014-2015","DAWSON EL",227901114,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",335,19,0,95,104,22,289,335,195,-9999999,-9999999,75,15
"2014-2015","DAEP- EL",227901115,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",10,0,0,5,-9999999,-9999999,9,-9999999,10,0,0,-9999999,0
"2014-2015","GOVALLE EL",227901116,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",547,39,0,199,185,10,497,547,394,-9999999,-9999999,59,8
"2014-2015","GULLETT EL",227901117,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",557,17,0,7,-9999999,6,43,-9999999,75,-9999999,0,43,12
"2014-2015","HARRIS EL",227901118,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",667,-9999999,0,464,396,68,651,667,568,0,5,55,6
"2014-2015","HIGHLAND PARK EL",227901119,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",640,93,0,6,0,5,37,0,98,0,-9999999,42,28
"2014-2015","JOSLIN EL",227901120,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",289,14,0,111,96,15,236,289,167,0,0,39,13
"2014-2015","LEE EL",227901121,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",390,16,0,16,0,15,68,-9999999,97,-9999999,0,35,9
"2014-2015","MAPLEWOOD EL",227901122,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",417,23,0,38,59,7,192,8,125,0,0,42,9
"2014-2015","MATHEWS EL",227901123,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",410,37,0,54,-9999999,47,156,73,131,-9999999,-9999999,29,17
"2014-2015","METZ EL",227901124,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",360,10,0,175,149,25,324,360,260,0,0,42,16
"2014-2015","OAK SPRINGS EL",227901125,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",306,9,0,79,67,12,303,306,170,-9999999,0,39,11
"2014-2015","ORTEGA EL",227901126,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",326,12,0,115,103,9,308,326,192,-9999999,-9999999,31,8
"2014-2015","SANCHEZ EL",227901127,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",436,12,0,314,291,21,418,436,363,0,0,40,-9999999
"2014-2015","PEASE EL",227901128,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",257,25,0,-9999999,0,-9999999,49,-9999999,72,0,0,17,19
"2014-2015","PECAN SPRINGS EL",227901129,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",452,15,0,205,194,10,439,452,336,0,-9999999,40,17
"2014-2015","PLEASANT HILL EL",227901130,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",527,-9999999,0,251,222,25,475,527,359,0,0,51,16
"2014-2015","READ PRE-K DEMONSTRATION SCH",227901131,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",314,0,0,209,198,11,304,-9999999,210,-9999999,0,41,0
"2014-2015","REILLY EL",227901132,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",277,5,0,186,153,31,249,277,216,0,-9999999,36,10
"2014-2015","RIDGETOP EL",227901133,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",302,37,0,91,286,7,135,16,177,0,0,39,9
"2014-2015","ST ELMO EL",227901136,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",292,21,0,141,132,9,262,292,179,-9999999,0,24,-9999999
"2014-2015","SUMMITT EL",227901138,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",774,34,0,242,198,35,271,-9999999,369,8,-9999999,55,11
"2014-2015","SIMS EL",227901139,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",228,7,0,62,61,-9999999,217,228,139,-9999999,0,14,7
"2014-2015","TRAVIS HTS EL",227901140,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",498,42,0,113,189,16,363,498,306,0,0,66,17
"2014-2015","WALNUT CREEK EL",227901141,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",661,7,0,449,397,51,605,661,554,-9999999,0,41,10
"2014-2015","PATTON EL",227901143,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",945,69,0,136,0,135,215,-9999999,346,12,-9999999,56,24
"2014-2015","WOOTEN EL",227901144,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",725,18,0,545,563,33,683,725,628,0,0,68,12
"2014-2015","ZAVALA EL",227901145,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",400,13,0,124,100,23,388,400,233,-9999999,0,62,10
"2014-2015","ZILKER EL",227901146,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",567,61,0,35,27,-9999999,156,5,150,0,-9999999,50,19
"2014-2015","MENCHACA EL",227901147,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",717,28,0,127,113,37,354,33,279,-9999999,-9999999,72,14
"2014-2015","OAK HILL EL",227901148,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",803,73,0,256,252,47,330,282,366,-9999999,-9999999,90,24
"2014-2015","BARRINGTON EL",227901149,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",588,21,0,413,394,20,571,588,477,-9999999,0,88,-9999999
"2014-2015","NORMAN EL",227901150,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",299,6,0,86,73,12,287,299,183,0,0,34,-9999999
"2014-2015","PILLOW EL",227901151,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",582,18,0,226,117,108,422,139,369,-9999999,0,44,21
"2014-2015","WOOLDRIDGE EL",227901152,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",572,16,0,434,354,74,550,572,497,0,0,36,14
"2014-2015","DOSS EL",227901154,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",919,52,0,136,0,136,120,-9999999,224,-9999999,0,32,30
"2014-2015","HILL EL",227901155,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",890,65,0,46,0,42,82,0,177,5,-9999999,47,16
"2014-2015","ODOM EL",227901156,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",546,16,0,234,216,12,499,546,352,0,-9999999,50,15
"2014-2015","WINN EL",227901157,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",338,9,0,199,192,7,328,338,261,0,-9999999,51,-9999999
"2014-2015","SUNSET VALLEY EL",227901158,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",518,25,0,199,347,10,339,123,300,-9999999,0,39,10
"2014-2015","GRAHAM EL",227901159,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",768,35,0,420,392,25,674,768,539,0,-9999999,69,16
"2014-2015","LINDER EL",227901160,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",412,20,0,221,180,39,396,412,314,0,0,43,12
"2014-2015","COOK EL",227901161,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",643,18,0,426,399,23,619,643,556,-9999999,0,51,13
"2014-2015","HOUSTON EL",227901162,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",765,15,0,413,391,19,743,765,563,-9999999,-9999999,47,20
"2014-2015","HART EL",227901163,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",717,18,0,561,457,98,695,717,638,0,-9999999,51,15
"2014-2015","PICKLE EL",227901164,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",746,7,0,564,547,13,725,746,670,0,-9999999,50,5
"2014-2015","MCBEE EL",227901165,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",531,6,0,386,358,26,507,531,451,0,0,57,17
"2014-2015","WILLIAMS EL",227901166,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",513,13,0,129,94,23,429,513,282,-9999999,6,80,18
"2014-2015","LANGFORD EL",227901168,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",741,12,0,471,441,28,701,741,587,-9999999,-9999999,62,35
"2014-2015","BOONE EL",227901170,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",499,32,0,33,14,19,219,5,114,0,-9999999,55,20
"2014-2015","PALM EL",227901171,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",516,18,0,223,202,18,430,516,327,-9999999,0,53,7
"2014-2015","KOCUREK EL",227901172,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",539,28,0,91,72,12,379,-9999999,258,6,5,64,11
"2014-2015","CASEY EL",227901173,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",665,16,0,113,186,20,451,127,287,0,-9999999,75,18
