YEAR,CAMPUS NAME,CAMPUS NUMBER,DISTRICT NAME,DISTRICT NUMBER,GRADEGRP1X,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL ELL STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL HOMELESS STUDENTS,TOTAL DYSLEXIC STUDENTS
2017-2018,ALLISON EL,227901101,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,479,19,0,219,197,20,458,479,362,0,-9999999,71,18,21
2017-2018,ANDREWS EL,227901102,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,504,14,0,381,343,38,470,504,439,0,0,60,15,31
2017-2018,BARTON HILLS EL,227901103,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,455,37,0,11,0,8,41,-9999999,91,-9999999,0,32,-9999999,35
2017-2018,BECKER EL,227901104,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,437,90,0,68,378,7,139,437,169,0,-9999999,24,-9999999,25
2017-2018,BLACKSHEAR EL,227901105,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,378,30,0,74,26,48,251,378,179,-9999999,0,46,19,15
2017-2018,BLANTON EL,227901106,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,516,65,0,220,338,13,357,516,305,0,-9999999,44,0,36
2017-2018,BRENTWOOD EL,227901107,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,675,55,0,62,128,11,131,-9999999,171,-9999999,-9999999,76,-9999999,54
2017-2018,BROOKE EL,227901108,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,246,16,0,89,96,8,240,246,166,0,0,48,6,12
2017-2018,BROWN EL,227901109,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,272,10,0,188,173,15,269,272,229,0,0,35,0,20
2017-2018,BRYKER WOODS EL,227901110,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,458,22,0,17,0,16,36,0,91,0,0,22,0,27
2017-2018,CAMPBELL EL,227901111,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,187,7,0,37,24,12,167,187,118,0,0,42,8,13
2017-2018,CASIS EL,227901112,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,765,39,0,16,0,16,20,-9999999,87,0,0,45,-9999999,43
2017-2018,CUNNINGHAM EL,227901113,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,394,12,0,73,47,26,236,394,194,-9999999,-9999999,65,-9999999,19
2017-2018,DAWSON EL,227901114,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,352,30,0,96,134,24,258,352,193,-9999999,-9999999,57,-9999999,14
2017-2018,DAEP- EL,227901115,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,7,0,0,-9999999,-9999999,0,6,0,6,0,0,0,0,0
2017-2018,GOVALLE EL,227901116,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,408,27,0,146,132,13,388,408,314,0,-9999999,76,25,40
2017-2018,GULLETT EL,227901117,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,569,27,0,7,0,6,37,0,65,0,-9999999,61,0,33
2017-2018,HARRIS EL,227901118,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,630,17,0,416,361,54,614,630,499,-9999999,-9999999,71,10,16
