Texas Education Agency,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Enrollment Counts in Student Program and Special Populations Reports,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PEIMS Data 2012-2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SCOPE,AGG_LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL PRE-K MILITARY STUDENTS,TOTAL PRE-K FOSTER STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES
STATE,DISTRICT,2012-2013,1902,CAYUGA ISD,7,595,53,180,5,0,5,227,595,162,0,0,73
STATE,DISTRICT,2012-2013,1903,ELKHART ISD,7,1239,52,315,16,0,16,637,1237,344,-9999999,-9999999,116
STATE,DISTRICT,2012-2013,1904,FRANKSTON ISD,7,752,26,264,14,0,14,443,752,238,0,0,82
STATE,DISTRICT,2012-2013,1906,NECHES ISD,7,406,27,155,-9999999,0,-9999999,170,406,168,0,0,45
STATE,DISTRICT,2012-2013,1907,PALESTINE ISD,7,3289,109,1086,434,86,314,2503,3289,1938,0,0,253
STATE,DISTRICT,2012-2013,1908,WESTWOOD ISD,7,1619,44,302,80,0,73,1002,949,718,-9999999,0,151
STATE,DISTRICT,2012-2013,1909,SLOCUM ISD,7,439,21,167,-9999999,0,-9999999,198,439,76,0,0,48
STATE,DISTRICT,2012-2013,2901,ANDREWS ISD,18,3619,132,554,398,440,46,1489,3576,1198,0,-9999999,252
STATE,DISTRICT,2012-2013,3801,PINEYWOODS COMMUNITY ACADEMY,7,635,40,83,0,0,0,320,633,49,0,-9999999,45
STATE,DISTRICT,2012-2013,3902,HUDSON ISD,7,2726,161,599,177,0,169,1490,2726,904,-9999999,0,196
STATE,DISTRICT,2012-2013,3903,LUFKIN ISD,7,8518,928,1555,1514,1218,673,6298,4511,4841,-9999999,-9999999,923
STATE,DISTRICT,2012-2013,3904,HUNTINGTON ISD,7,1735,101,571,16,0,16,904,1735,667,0,0,175
STATE,DISTRICT,2012-2013,3905,DIBOLL ISD,7,2007,90,455,356,156,180,1461,2007,997,0,0,155
STATE,DISTRICT,2012-2013,3906,ZAVALLA ISD,7,441,17,110,0,0,0,264,441,161,0,0,46
STATE,DISTRICT,2012-2013,3907,CENTRAL ISD,7,1540,71,342,53,0,52,853,1538,438,0,0,138
STATE,DISTRICT,2012-2013,4901,ARANSAS COUNTY ISD,2,3165,115,817,113,0,113,1828,3165,1412,-9999999,-9999999,274
STATE,DISTRICT,2012-2013,5901,ARCHER CITY ISD,9,488,37,109,-9999999,0,-9999999,174,250,128,0,0,42
STATE,DISTRICT,2012-2013,5902,HOLLIDAY ISD,9,887,30,209,-9999999,0,-9999999,269,618,245,0,0,79
STATE,DISTRICT,2012-2013,5904,WINDTHORST ISD,9,476,34,179,43,0,43,206,202,170,0,0,33
STATE,DISTRICT,2012-2013,6902,CLAUDE ISD,16,367,14,106,-9999999,0,-9999999,151,367,136,0,0,46
STATE,DISTRICT,2012-2013,7901,CHARLOTTE ISD,20,506,12,120,31,0,31,356,506,293,0,0,33
STATE,DISTRICT,2012-2013,7902,JOURDANTON ISD,20,1472,83,423,31,0,29,807,1046,570,0,0,114
STATE,DISTRICT,2012-2013,7904,LYTLE ISD,20,1738,93,544,124,0,115,1215,1202,729,-9999999,-9999999,100
STATE,DISTRICT,2012-2013,7905,PLEASANTON ISD,20,3493,162,852,89,0,89,2184,3461,1385,0,0,284
STATE,DISTRICT,2012-2013,7906,POTEET ISD,20,1775,94,462,79,0,69,1418,1757,948,-9999999,0,128
STATE,DISTRICT,2012-2013,8901,BELLVILLE ISD,6,2087,232,607,157,10,146,972,824,692,0,0,174
STATE,DISTRICT,2012-2013,8902,SEALY ISD,6,2683,144,549,294,188,100,1581,1255,1118,-9999999,-9999999,235
STATE,DISTRICT,2012-2013,8903,BRAZOS ISD,6,822,14,229,98,0,95,467,395,302,0,-9999999,42
STATE,DISTRICT,2012-2013,9901,MULESHOE ISD,17,1498,47,343,269,226,34,1230,1488,792,0,0,147
STATE,DISTRICT,2012-2013,10901,MEDINA ISD,20,266,17,99,18,0,15,159,266,106,0,0,39
STATE,DISTRICT,2012-2013,10902,BANDERA ISD,20,2447,155,662,103,0,102,1221,1140,859,-9999999,0,243
STATE,DISTRICT,2012-2013,11901,BASTROP ISD,13,9302,715,1504,1890,1332,388,6312,5356,5371,-9999999,-9999999,1029
STATE,DISTRICT,2012-2013,11902,ELGIN ISD,13,4145,329,1248,734,498,212,2925,4107,1982,-9999999,7,377
STATE,DISTRICT,2012-2013,11904,SMITHVILLE ISD,13,1770,118,453,70,0,67,984,1770,560,0,-9999999,178
STATE,DISTRICT,2012-2013,11905,MCDADE ISD,13,216,8,0,52,0,48,154,216,125,0,0,19
STATE,DISTRICT,2012-2013,12901,SEYMOUR ISD,9,582,21,138,0,0,0,306,582,144,0,0,67
STATE,DISTRICT,2012-2013,13801,ST MARY'S ACADEMY CHARTER SCHOOL,2,431,21,0,0,0,0,333,431,174,0,0,31
STATE,DISTRICT,2012-2013,13901,BEEVILLE ISD,2,3489,259,1018,122,0,101,2548,3489,1898,-9999999,-9999999,323
STATE,DISTRICT,2012-2013,13902,PAWNEE ISD,2,156,7,0,-9999999,0,0,92,156,58,0,0,12
STATE,DISTRICT,2012-2013,13903,PETTUS ISD,2,427,26,136,-9999999,0,-9999999,259,427,194,0,0,49
STATE,DISTRICT,2012-2013,13905,SKIDMORE-TYNAN ISD,2,823,48,282,14,0,14,478,822,332,0,0,81
STATE,DISTRICT,2012-2013,14801,RICHARD MILBURN ALTER HIGH SCHOOL,12,164,0,78,0,0,0,126,164,159,0,0,36
STATE,DISTRICT,2012-2013,14802,TRANSFORMATIVE CHARTER ACADEMY,12,66,0,13,0,0,0,24,66,66,0,0,9
STATE,DISTRICT,2012-2013,14803,PRIORITY CHARTER SCHOOLS,12,448,0,26,-9999999,0,0,253,353,84,5,0,42
STATE,DISTRICT,2012-2013,14804,ORENDA CHARTER SCHOOL,12,999,0,7,10,0,-9999999,311,111,301,0,0,105
STATE,DISTRICT,2012-2013,14901,ACADEMY ISD,12,1176,96,235,37,0,37,401,1176,358,-9999999,0,96
STATE,DISTRICT,2012-2013,14902,BARTLETT ISD,13,421,8,124,49,0,49,322,420,170,0,0,40
STATE,DISTRICT,2012-2013,14903,BELTON ISD,12,9932,789,2057,686,354,320,4848,4255,4014,47,5,1118
STATE,DISTRICT,2012-2013,14905,HOLLAND ISD,12,611,48,196,20,0,20,347,435,204,0,0,47
STATE,DISTRICT,2012-2013,14906,KILLEEN ISD,12,41756,1641,6447,3439,626,2398,23488,22271,19635,1931,25,4525
STATE,DISTRICT,2012-2013,14907,ROGERS ISD,12,838,86,257,32,0,32,408,838,239,0,-9999999,60
STATE,DISTRICT,2012-2013,14908,SALADO ISD,12,1352,63,373,93,0,92,334,696,379,-9999999,-9999999,95
STATE,DISTRICT,2012-2013,14909,TEMPLE ISD,12,8838,723,1688,731,424,294,6535,6653,4503,6,0,717
STATE,DISTRICT,2012-2013,14910,TROY ISD,12,1380,86,312,37,0,38,650,993,423,-9999999,0,121
STATE,DISTRICT,2012-2013,15801,POR VIDA ACADEMY,20,316,0,221,-9999999,0,-9999999,252,194,249,0,0,47
STATE,DISTRICT,2012-2013,15802,GEORGE GERVIN ACADEMY,20,1246,0,61,97,88,10,1171,1246,1040,7,0,42
STATE,DISTRICT,2012-2013,15803,HIGGS CARTER KING GIFTED & TALENTE,20,642,0,0,21,0,21,624,642,39,13,-9999999,27
STATE,DISTRICT,2012-2013,15805,NEW FRONTIERS CHARTER SCHOOL,20,627,0,0,69,0,66,493,627,411,0,0,52
STATE,DISTRICT,2012-2013,15806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1527,0,193,176,16,156,1338,1527,1006,-9999999,-9999999,114
STATE,DISTRICT,2012-2013,15807,SOUTHWEST PREPARATORY SCHOOL,20,508,8,334,19,0,11,332,508,424,0,0,74
STATE,DISTRICT,2012-2013,15808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,557,0,0,34,0,15,557,557,557,0,0,232
