Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",001902,"CAYUGA ISD",07,553,54,180,-9999999,0,-9999999,210,553,204,-9999999,5,76
"STATE","DISTRICT","2013-2014",001903,"ELKHART ISD",07,1209,46,232,12,0,12,622,846,501,-9999999,-9999999,109
"STATE","DISTRICT","2013-2014",001904,"FRANKSTON ISD",07,762,40,219,15,0,15,445,762,323,11,8,74
"STATE","DISTRICT","2013-2014",001906,"NECHES ISD",07,389,27,161,-9999999,0,-9999999,150,389,128,-9999999,0,35
"STATE","DISTRICT","2013-2014",001907,"PALESTINE ISD",07,3264,114,799,443,103,300,2476,3264,2053,31,9,255
"STATE","DISTRICT","2013-2014",001908,"WESTWOOD ISD",07,1603,52,330,84,0,75,988,939,745,6,-9999999,161
"STATE","DISTRICT","2013-2014",001909,"SLOCUM ISD",07,412,17,164,-9999999,0,-9999999,197,412,141,0,-9999999,49
"STATE","DISTRICT","2013-2014",002901,"ANDREWS ISD",18,3764,119,629,443,435,67,1580,3724,1595,0,15,254
"STATE","DISTRICT","2013-2014",003801,"PINEYWOODS COMMUNITY ACADEMY",07,701,22,39,21,0,21,344,701,250,9,-9999999,46
"STATE","DISTRICT","2013-2014",003902,"HUDSON ISD",07,2778,163,675,190,0,182,1496,2778,1019,8,5,173
"STATE","DISTRICT","2013-2014",003903,"LUFKIN ISD",07,8418,866,1614,1533,1268,645,6166,4496,5123,28,16,898
"STATE","DISTRICT","2013-2014",003904,"HUNTINGTON ISD",07,1761,102,587,16,0,16,917,1761,814,7,7,176
"STATE","DISTRICT","2013-2014",003905,"DIBOLL ISD",07,1995,85,432,371,177,180,1508,1995,1061,9,-9999999,186
"STATE","DISTRICT","2013-2014",003906,"ZAVALLA ISD",07,413,19,122,0,0,0,242,413,150,0,-9999999,49
"STATE","DISTRICT","2013-2014",003907,"CENTRAL ISD",07,1593,68,398,49,0,47,853,1593,743,0,-9999999,158
"STATE","DISTRICT","2013-2014",004901,"ARANSAS COUNTY ISD",02,3217,125,839,122,0,122,1785,3217,1363,19,14,283
"STATE","DISTRICT","2013-2014",005901,"ARCHER CITY ISD",09,487,35,152,6,0,6,188,249,187,0,-9999999,54
"STATE","DISTRICT","2013-2014",005902,"HOLLIDAY ISD",09,893,33,224,-9999999,0,-9999999,243,618,309,22,0,90
"STATE","DISTRICT","2013-2014",005904,"WINDTHORST ISD",09,461,38,171,39,0,39,186,184,206,-9999999,0,35
"STATE","DISTRICT","2013-2014",006902,"CLAUDE ISD",16,369,10,102,-9999999,0,-9999999,150,326,148,-9999999,0,45
"STATE","DISTRICT","2013-2014",007901,"CHARLOTTE ISD",20,535,13,118,30,0,25,381,535,362,8,0,50
"STATE","DISTRICT","2013-2014",007902,"JOURDANTON ISD",20,1553,88,454,35,0,35,870,1055,659,20,6,129
"STATE","DISTRICT","2013-2014",007904,"LYTLE ISD",20,1763,84,542,143,0,133,1259,1236,965,5,-9999999,117
"STATE","DISTRICT","2013-2014",007905,"PLEASANTON ISD",20,3521,161,928,112,0,112,2149,3502,1701,13,17,246
"STATE","DISTRICT","2013-2014",007906,"POTEET ISD",20,1766,89,635,71,0,65,1444,1748,1035,-9999999,6,133
"STATE","DISTRICT","2013-2014",008901,"BELLVILLE ISD",06,2121,235,558,174,14,158,971,879,937,15,-9999999,169
"STATE","DISTRICT","2013-2014",008902,"SEALY ISD",06,2771,154,558,328,221,102,1536,1336,1319,-9999999,0,225
"STATE","DISTRICT","2013-2014",008903,"BRAZOS ISD",06,823,19,215,98,0,95,464,401,313,6,5,44
"STATE","DISTRICT","2013-2014",009901,"MULESHOE ISD",17,1469,39,323,278,218,55,1232,1455,840,-9999999,6,150
"STATE","DISTRICT","2013-2014",010901,"MEDINA ISD",20,270,16,76,19,0,16,151,270,100,0,0,29
"STATE","DISTRICT","2013-2014",010902,"BANDERA ISD",20,2374,140,631,90,0,89,1212,1128,1027,21,27,234
"STATE","DISTRICT","2013-2014",011901,"BASTROP ISD",13,9575,744,1495,2070,1440,464,6543,5461,5865,73,27,1045
"STATE","DISTRICT","2013-2014",011902,"ELGIN ISD",13,4188,361,940,795,546,234,3002,2021,2528,23,12,360
"STATE","DISTRICT","2013-2014",011904,"SMITHVILLE ISD",13,1804,127,426,75,0,74,1049,1804,771,0,10,164
"STATE","DISTRICT","2013-2014",011905,"MCDADE ISD",13,212,8,0,56,0,53,156,211,133,0,-9999999,16
"STATE","DISTRICT","2013-2014",012901,"SEYMOUR ISD",09,571,21,155,0,0,0,303,571,178,-9999999,0,63
"STATE","DISTRICT","2013-2014",013801,"ST MARY'S ACADEMY CHARTER SCHOOL",02,434,16,0,-9999999,0,-9999999,333,434,206,-9999999,7,30
