Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2015-2016

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2015-2016",001902,"CAYUGA ISD",07,570,63,153,-9999999,0,-9999999,192,570,224,5,-9999999,80,37
"STATE","DISTRICT","2015-2016",001903,"ELKHART ISD",07,1244,45,304,19,0,19,681,1244,380,0,14,144,40
"STATE","DISTRICT","2015-2016",001904,"FRANKSTON ISD",07,842,60,273,19,0,19,475,841,338,16,11,70,39
"STATE","DISTRICT","2015-2016",001906,"NECHES ISD",07,383,26,140,6,0,6,164,383,116,5,-9999999,42,16
"STATE","DISTRICT","2015-2016",001907,"PALESTINE ISD",07,3385,92,1159,538,102,390,2507,3385,2030,32,16,289,45
"STATE","DISTRICT","2015-2016",001908,"WESTWOOD ISD",07,1610,36,415,92,0,82,1010,0,849,11,21,160,0
"STATE","DISTRICT","2015-2016",001909,"SLOCUM ISD",07,415,20,152,-9999999,0,-9999999,199,414,140,0,-9999999,55,0
"STATE","DISTRICT","2015-2016",002901,"ANDREWS ISD",18,3976,180,916,510,388,97,1575,3944,1620,-9999999,10,266,48
"STATE","DISTRICT","2015-2016",003801,"PINEYWOODS COMMUNITY ACADEMY",07,966,75,84,51,0,50,451,966,154,17,9,58,42
"STATE","DISTRICT","2015-2016",003902,"HUDSON ISD",07,2782,150,719,198,0,190,1487,2782,1078,9,10,216,107
