Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2017-2018

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","CHARTER STATUS","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL HOMELESS STUDENTS","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2017-2018",001902,"CAYUGA ISD",07,"TRADITIONAL ISD/CSD",576,57,160,-9999999,0,-9999999,247,576,226,-9999999,5,84,-9999999,28
"STATE","DISTRICT","2017-2018",001903,"ELKHART ISD",07,"TRADITIONAL ISD/CSD",1234,41,397,19,0,17,677,1234,363,0,-9999999,130,-9999999,47
"STATE","DISTRICT","2017-2018",001904,"FRANKSTON ISD",07,"TRADITIONAL ISD/CSD",873,72,222,19,0,19,468,873,339,12,12,89,23,53
"STATE","DISTRICT","2017-2018",001906,"NECHES ISD",07,"TRADITIONAL ISD/CSD",360,27,155,5,0,5,171,360,100,12,-9999999,35,-9999999,5
"STATE","DISTRICT","2017-2018",001907,"PALESTINE ISD",07,"TRADITIONAL ISD/CSD",3415,92,1168,578,95,431,2359,3415,2017,18,20,316,19,51
"STATE","DISTRICT","2017-2018",001908,"WESTWOOD ISD",07,"TRADITIONAL ISD/CSD",1561,34,410,96,0,91,930,894,830,7,18,170,6,35
"STATE","DISTRICT","2017-2018",001909,"SLOCUM ISD",07,"TRADITIONAL ISD/CSD",423,18,154,5,0,5,208,423,151,-9999999,0,53,5,0
"STATE","DISTRICT","2017-2018",002901,"ANDREWS ISD",18,"TRADITIONAL ISD/CSD",4066,214,911,477,413,114,1615,4023,1685,0,7,295,47,80
"STATE","DISTRICT","2017-2018",003801,"PINEYWOODS COMMUNITY ACADEMY",07,"OPEN ENROLLMENT CHARTER",1020,100,102,55,0,55,517,1018,277,17,8,82,7,32
"STATE","DISTRICT","2017-2018",003902,"HUDSON ISD",07,"TRADITIONAL ISD/CSD",2892,166,926,199,0,189,1536,2892,1120,12,14,246,20,119
"STATE","DISTRICT","2017-2018",003903,"LUFKIN ISD",07,"TRADITIONAL ISD/CSD",7992,907,1892,1501,1135,751,5885,4181,5029,13,26,836,163,344
"STATE","DISTRICT","2017-2018",003904,"HUNTINGTON ISD",07,"TRADITIONAL ISD/CSD",1719,75,573,16,0,16,945,1719,839,5,7,153,6,118
"STATE","DISTRICT","2017-2018",003905,"DIBOLL ISD",07,"TRADITIONAL ISD/CSD",1898,68,464,304,146,153,1676,1896,1163,18,7,181,66,64
"STATE","DISTRICT","2017-2018",003906,"ZAVALLA ISD",07,"TRADITIONAL ISD/CSD",368,10,130,0,0,0,234,368,174,-9999999,-9999999,47,5,11
"STATE","DISTRICT","2017-2018",003907,"CENTRAL ISD",07,"TRADITIONAL ISD/CSD",1523,71,527,59,0,57,845,1523,652,0,-9999999,189,22,24
"STATE","DISTRICT","2017-2018",004901,"ARANSAS COUNTY ISD",02,"TRADITIONAL ISD/CSD",2547,122,575,115,0,115,2453,2547,2536,21,16,230,2499,126
"STATE","DISTRICT","2017-2018",005901,"ARCHER CITY ISD",09,"TRADITIONAL ISD/CSD",474,34,140,8,0,8,196,255,155,0,-9999999,64,28,38
"STATE","DISTRICT","2017-2018",005902,"HOLLIDAY ISD",09,"TRADITIONAL ISD/CSD",1007,53,265,-9999999,0,-9999999,251,699,326,36,-9999999,87,-9999999,66
"STATE","DISTRICT","2017-2018",005904,"WINDTHORST ISD",09,"TRADITIONAL ISD/CSD",428,38,158,25,0,25,114,178,155,0,0,38,0,23
"STATE","DISTRICT","2017-2018",006902,"CLAUDE ISD",16,"TRADITIONAL ISD/CSD",372,11,105,7,0,7,159,372,120,-9999999,-9999999,38,-9999999,29
"STATE","DISTRICT","2017-2018",007901,"CHARLOTTE ISD",20,"TRADITIONAL ISD/CSD",494,23,145,29,0,27,349,494,365,5,-9999999,59,0,0
"STATE","DISTRICT","2017-2018",007902,"JOURDANTON ISD",20,"TRADITIONAL ISD/CSD",1622,65,466,37,0,36,824,1176,603,17,11,151,16,46
"STATE","DISTRICT","2017-2018",007904,"LYTLE ISD",20,"TRADITIONAL ISD/CSD",1698,53,556,187,0,177,1230,1243,929,14,16,134,10,0
"STATE","DISTRICT","2017-2018",007905,"PLEASANTON ISD",20,"TRADITIONAL ISD/CSD",3588,153,952,110,0,107,2102,2573,1676,32,18,329,21,199
"STATE","DISTRICT","2017-2018",007906,"POTEET ISD",20,"TRADITIONAL ISD/CSD",1736,86,603,90,0,85,1329,1735,966,-9999999,6,142,54,100
"STATE","DISTRICT","2017-2018",008901,"BELLVILLE ISD",06,"TRADITIONAL ISD/CSD",2261,235,797,204,10,193,1076,888,961,23,-9999999,222,11,92
"STATE","DISTRICT","2017-2018",008902,"SEALY ISD",06,"TRADITIONAL ISD/CSD",2832,134,803,404,241,143,1646,1396,1344,-9999999,-9999999,258,-9999999,135
"STATE","DISTRICT","2017-2018",008903,"BRAZOS ISD",06,"TRADITIONAL ISD/CSD",807,25,229,125,0,120,497,340,394,5,50,93,24,50
"STATE","DISTRICT","2017-2018",009901,"MULESHOE ISD",17,"TRADITIONAL ISD/CSD",1441,24,402,282,227,52,1199,1426,900,0,13,193,-9999999,13
"STATE","DISTRICT","2017-2018",010901,"MEDINA ISD",20,"TRADITIONAL ISD/CSD",322,24,109,-9999999,0,-9999999,209,322,196,-9999999,0,27,80,15
"STATE","DISTRICT","2017-2018",010902,"BANDERA ISD",20,"TRADITIONAL ISD/CSD",2283,109,762,100,0,95,1120,1109,1060,44,13,266,57,38
"STATE","DISTRICT","2017-2018",011901,"BASTROP ISD",13,"TRADITIONAL ISD/CSD",10899,715,2617,2812,1400,1294,7489,6872,6614,78,77,1192,221,807
"STATE","DISTRICT","2017-2018",011902,"ELGIN ISD",13,"TRADITIONAL ISD/CSD",4321,350,1389,1187,906,443,3269,2113,3124,11,18,427,99,240
"STATE","DISTRICT","2017-2018",011904,"SMITHVILLE ISD",13,"TRADITIONAL ISD/CSD",1788,135,437,128,0,124,1068,1785,935,6,6,185,56,86
"STATE","DISTRICT","2017-2018",011905,"MCDADE ISD",13,"TRADITIONAL ISD/CSD",325,25,47,62,0,59,202,325,157,0,-9999999,32,-9999999,16
"STATE","DISTRICT","2017-2018",012901,"SEYMOUR ISD",09,"TRADITIONAL ISD/CSD",579,16,162,-9999999,0,-9999999,330,579,208,-9999999,-9999999,67,-9999999,41
"STATE","DISTRICT","2017-2018",013801,"ST MARY'S ACADEMY CHARTER SCHOOL",02,"OPEN ENROLLMENT CHARTER",457,24,0,5,0,5,390,457,223,11,-9999999,32,9,-9999999
"STATE","DISTRICT","2017-2018",013901,"BEEVILLE ISD",02,"TRADITIONAL ISD/CSD",3315,128,865,74,0,58,2302,3235,1875,7,29,356,23,28
"STATE","DISTRICT","2017-2018",013902,"PAWNEE ISD",02,"TRADITIONAL ISD/CSD",300,5,0,6,0,5,236,300,63,5,-9999999,17,21,-9999999
"STATE","DISTRICT","2017-2018",013903,"PETTUS ISD",02,"TRADITIONAL ISD/CSD",429,14,199,-9999999,0,-9999999,322,429,277,-9999999,12,47,29,10
"STATE","DISTRICT","2017-2018",013905,"SKIDMORE-TYNAN ISD",02,"TRADITIONAL ISD/CSD",837,57,284,13,0,13,507,836,340,0,-9999999,92,0,9
"STATE","DISTRICT","2017-2018",014801,"RICHARD MILBURN ALTER HIGH SCHOOL",20,"OPEN ENROLLMENT CHARTER",2224,0,1200,112,0,105,1643,1857,2097,8,0,241,99,-9999999
"STATE","DISTRICT","2017-2018",014803,"PRIORITY CHARTER SCHOOLS",12,"OPEN ENROLLMENT CHARTER",960,0,201,35,0,32,525,960,266,49,11,108,44,8
"STATE","DISTRICT","2017-2018",014804,"ORENDA CHARTER SCHOOL",12,"OPEN ENROLLMENT CHARTER",1659,0,0,18,0,12,269,217,555,40,67,150,-9999999,74
"STATE","DISTRICT","2017-2018",014901,"ACADEMY ISD",12,"TRADITIONAL ISD/CSD",1559,122,397,69,0,67,611,1559,508,50,13,127,15,39
"STATE","DISTRICT","2017-2018",014902,"BARTLETT ISD",13,"TRADITIONAL ISD/CSD",342,-9999999,96,41,0,41,285,342,224,-9999999,0,30,0,13
"STATE","DISTRICT","2017-2018",014903,"BELTON ISD",12,"TRADITIONAL ISD/CSD",11529,977,2608,771,236,512,5235,5300,4985,891,77,1380,274,415
"STATE","DISTRICT","2017-2018",014905,"HOLLAND ISD",12,"TRADITIONAL ISD/CSD",668,38,256,12,0,12,308,454,193,-9999999,0,45,-9999999,36
"STATE","DISTRICT","2017-2018",014906,"KILLEEN ISD",12,"TRADITIONAL ISD/CSD",44294,1357,8098,4600,1064,3058,25081,22523,23237,16554,309,5227,756,2108
"STATE","DISTRICT","2017-2018",014907,"ROGERS ISD",12,"TRADITIONAL ISD/CSD",895,76,273,43,0,41,407,361,471,19,9,70,58,57
"STATE","DISTRICT","2017-2018",014908,"SALADO ISD",12,"TRADITIONAL ISD/CSD",1863,119,455,97,0,97,462,1031,509,175,0,107,-9999999,86
"STATE","DISTRICT","2017-2018",014909,"TEMPLE ISD",12,"TRADITIONAL ISD/CSD",8631,571,2124,930,541,447,6400,6340,5354,108,35,963,160,152
"STATE","DISTRICT","2017-2018",014910,"TROY ISD",12,"TRADITIONAL ISD/CSD",1534,100,345,49,0,48,779,1106,603,22,16,200,29,86
"STATE","DISTRICT","2017-2018",015801,"POR VIDA ACADEMY",20,"OPEN ENROLLMENT CHARTER",271,0,251,0,0,0,228,270,167,0,0,32,6,0
"STATE","DISTRICT","2017-2018",015802,"GEORGE GERVIN ACADEMY",20,"OPEN ENROLLMENT CHARTER",1358,0,236,252,159,112,1358,1358,1358,-9999999,5,86,25,0
"STATE","DISTRICT","2017-2018",015805,"NEW FRONTIERS PUBLIC SCHOOLS INC",20,"OPEN ENROLLMENT CHARTER",706,0,7,64,0,63,587,487,450,18,-9999999,46,35,15
"STATE","DISTRICT","2017-2018",015806,"SCHOOL OF EXCELLENCE IN EDUCATION",20,"OPEN ENROLLMENT CHARTER",667,0,202,134,34,99,597,667,474,5,5,47,37,21
"STATE","DISTRICT","2017-2018",015807,"SOUTHWEST PREPARATORY SCHOOL",20,"OPEN ENROLLMENT CHARTER",879,40,338,107,0,77,685,879,654,13,5,95,22,30
"STATE","DISTRICT","2017-2018",015808,"INSPIRE ACADEMIES",20,"OPEN ENROLLMENT CHARTER",867,0,39,11,0,8,495,491,507,-9999999,114,183,0,8
"STATE","DISTRICT","2017-2018",015809,"BEXAR COUNTY ACADEMY",20,"OPEN ENROLLMENT CHARTER",374,-9999999,0,96,25,68,360,374,316,-9999999,0,39,12,15
"STATE","DISTRICT","2017-2018",015814,"POSITIVE SOLUTIONS CHARTER SCHOOL",20,"OPEN ENROLLMENT CHARTER",125,0,15,8,0,8,115,124,115,0,0,8,0,0
"STATE","DISTRICT","2017-2018",015815,"HERITAGE ACADEMY",20,"OPEN ENROLLMENT CHARTER",508,0,252,148,0,152,362,508,446,23,5,42,-9999999,6
"STATE","DISTRICT","2017-2018",015822,"JUBILEE ACADEMIES",20,"OPEN ENROLLMENT CHARTER",5650,427,209,1080,429,549,3533,4620,3145,17,5,372,80,124
"STATE","DISTRICT","2017-2018",015825,"LIGHTHOUSE CHARTER SCHOOL",20,"OPEN ENROLLMENT CHARTER",302,21,0,67,0,65,258,302,170,8,0,22,0,0
"STATE","DISTRICT","2017-2018",015826,"KIPP SAN ANTONIO",20,"OPEN ENROLLMENT CHARTER",3253,0,0,994,1120,526,2788,3253,1886,16,-9999999,270,18,0
"STATE","DISTRICT","2017-2018",015827,"SCHOOL OF SCIENCE AND TECHNOLOGY",20,"OPEN ENROLLMENT CHARTER",1583,149,336,192,0,184,981,1284,469,0,0,107,-9999999,44
"STATE","DISTRICT","2017-2018",015828,"HARMONY SCIENCE ACAD (SAN ANTONIO)",20,"OPEN ENROLLMENT CHARTER",4328,419,1007,1194,0,1121,3269,3298,2267,-9999999,0,278,58,75
"STATE","DISTRICT","2017-2018",015830,"BROOKS ACADEMY OF SCIENCE AND ENGI",20,"OPEN ENROLLMENT CHARTER",2898,195,919,199,0,195,2003,1795,725,58,-9999999,165,0,21
"STATE","DISTRICT","2017-2018",015831,"SCHOOL OF SCIENCE AND TECHNOLOGY D",20,"OPEN ENROLLMENT CHARTER",1676,140,243,157,0,153,1245,1626,491,-9999999,0,126,-9999999,42
"STATE","DISTRICT","2017-2018",015833,"HENRY FORD ACADEMY ALAMEDA SCHOOL",20,"OPEN ENROLLMENT CHARTER",137,0,116,-9999999,0,-9999999,65,137,72,-9999999,0,11,12,0
"STATE","DISTRICT","2017-2018",015834,"BASIS TEXAS",20,"OPEN ENROLLMENT CHARTER",2452,0,0,178,0,150,104,0,359,48,0,40,10,8
"STATE","DISTRICT","2017-2018",015835,"GREAT HEARTS TEXAS",20,"OPEN ENROLLMENT CHARTER",2766,0,0,139,0,115,416,73,712,36,0,140,-9999999,54
"STATE","DISTRICT","2017-2018",015836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA",20,"OPEN ENROLLMENT CHARTER",319,0,0,14,0,14,36,0,75,12,-9999999,15,0,-9999999
"STATE","DISTRICT","2017-2018",015837,"CARPE DIEM SCHOOLS",20,"OPEN ENROLLMENT CHARTER",226,0,0,-9999999,0,0,134,83,174,0,0,25,0,0
"STATE","DISTRICT","2017-2018",015838,"COMPASS ROSE ACADEMY",20,"OPEN ENROLLMENT CHARTER",90,0,0,12,0,10,71,0,16,-9999999,0,10,-9999999,-9999999
"STATE","DISTRICT","2017-2018",015901,"ALAMO HEIGHTS ISD",20,"TRADITIONAL ISD/CSD",4810,945,585,264,243,138,993,95,1454,118,-9999999,401,5,250
"STATE","DISTRICT","2017-2018",015904,"HARLANDALE ISD",20,"TRADITIONAL ISD/CSD",14381,895,5097,2540,2116,871,12551,13746,10758,136,25,1339,271,641
"STATE","DISTRICT","2017-2018",015905,"EDGEWOOD ISD",20,"TRADITIONAL ISD/CSD",10471,538,2580,2055,1450,562,9763,10470,7753,36,52,1053,343,478
"STATE","DISTRICT","2017-2018",015906,"RANDOLPH FIELD ISD",20,"TRADITIONAL ISD/CSD",1450,154,305,7,0,5,115,45,353,1149,0,111,-9999999,19
"STATE","DISTRICT","2017-2018",015907,"SAN ANTONIO ISD",20,"TRADITIONAL ISD/CSD",50683,3126,12046,9557,5897,2986,45934,49912,37207,305,194,5235,1118,1819
"STATE","DISTRICT","2017-2018",015908,"SOUTH SAN ANTONIO ISD",20,"TRADITIONAL ISD/CSD",9103,612,2390,1488,883,526,7876,9103,6600,39,62,837,233,240
"STATE","DISTRICT","2017-2018",015909,"SOMERSET ISD",20,"TRADITIONAL ISD/CSD",4169,212,1330,642,452,117,3218,4054,2548,13,26,384,20,182
"STATE","DISTRICT","2017-2018",015910,"NORTH EAST ISD",20,"TRADITIONAL ISD/CSD",66101,4458,14693,7993,5735,3707,30690,16631,29689,4027,230,6626,641,1361
"STATE","DISTRICT","2017-2018",015911,"EAST CENTRAL ISD",20,"TRADITIONAL ISD/CSD",10215,564,2519,1101,1257,308,6626,6954,5127,275,85,1091,123,644
"STATE","DISTRICT","2017-2018",015912,"SOUTHWEST ISD",20,"TRADITIONAL ISD/CSD",13873,1297,3206,2213,1403,791,11414,13714,9694,266,74,1635,155,608
"STATE","DISTRICT","2017-2018",015913,"LACKLAND ISD",20,"TRADITIONAL ISD/CSD",1053,81,188,19,0,19,288,67,209,1005,0,114,0,6
"STATE","DISTRICT","2017-2018",015914,"FT SAM HOUSTON ISD",20,"TRADITIONAL ISD/CSD",1612,115,315,28,0,27,477,0,413,1478,-9999999,203,0,0
"STATE","DISTRICT","2017-2018",015915,"NORTHSIDE ISD",20,"TRADITIONAL ISD/CSD",106700,8469,24876,9281,4670,3746,51107,38769,49892,7428,383,12591,666,3185
"STATE","DISTRICT","2017-2018",015916,"JUDSON ISD",20,"TRADITIONAL ISD/CSD",23118,1613,6540,2109,1275,743,14642,11829,16972,1697,166,2458,282,1545
"STATE","DISTRICT","2017-2018",015917,"SOUTHSIDE ISD",20,"TRADITIONAL ISD/CSD",5654,466,1799,1019,725,296,4642,5645,3953,59,34,600,117,307
"STATE","DISTRICT","2017-2018",016901,"JOHNSON CITY ISD",13,"TRADITIONAL ISD/CSD",659,18,217,40,0,40,208,211,179,-9999999,-9999999,62,-9999999,40
"STATE","DISTRICT","2017-2018",016902,"BLANCO ISD",13,"TRADITIONAL ISD/CSD",1031,79,301,78,0,78,458,447,382,0,-9999999,109,-9999999,29
"STATE","DISTRICT","2017-2018",017901,"BORDEN COUNTY ISD",17,"TRADITIONAL ISD/CSD",233,8,100,-9999999,0,-9999999,58,233,63,0,0,20,0,-9999999
"STATE","DISTRICT","2017-2018",018901,"CLIFTON ISD",12,"TRADITIONAL ISD/CSD",1007,52,305,76,0,76,570,1007,400,13,6,118,17,20
"STATE","DISTRICT","2017-2018",018902,"MERIDIAN ISD",12,"TRADITIONAL ISD/CSD",474,11,164,26,0,24,301,227,160,-9999999,7,60,16,24
"STATE","DISTRICT","2017-2018",018903,"MORGAN ISD",12,"TRADITIONAL ISD/CSD",133,-9999999,44,7,0,7,102,133,16,0,-9999999,24,0,0
"STATE","DISTRICT","2017-2018",018904,"VALLEY MILLS ISD",12,"TRADITIONAL ISD/CSD",645,27,214,38,0,38,352,645,263,-9999999,-9999999,83,0,38
"STATE","DISTRICT","2017-2018",018905,"WALNUT SPRINGS ISD",12,"TRADITIONAL ISD/CSD",177,16,55,34,0,33,142,177,97,0,-9999999,26,5,17
"STATE","DISTRICT","2017-2018",018906,"IREDELL ISD",12,"TRADITIONAL ISD/CSD",141,-9999999,75,-9999999,0,-9999999,79,141,63,-9999999,-9999999,18,20,6
"STATE","DISTRICT","2017-2018",018907,"KOPPERL ISD",12,"TRADITIONAL ISD/CSD",232,6,58,-9999999,0,-9999999,169,232,31,0,0,24,-9999999,6
"STATE","DISTRICT","2017-2018",018908,"CRANFILLS GAP ISD",12,"TRADITIONAL ISD/CSD",138,0,66,12,0,12,93,138,59,0,0,15,11,-9999999
"STATE","DISTRICT","2017-2018",019901,"DEKALB ISD",08,"TRADITIONAL ISD/CSD",831,59,223,36,0,32,555,831,321,0,0,81,17,48
"STATE","DISTRICT","2017-2018",019902,"HOOKS ISD",08,"TRADITIONAL ISD/CSD",942,84,357,32,0,32,510,942,396,-9999999,6,101,9,91
"STATE","DISTRICT","2017-2018",019903,"MAUD ISD",08,"TRADITIONAL ISD/CSD",488,20,127,0,0,0,289,477,124,5,0,52,-9999999,35
"STATE","DISTRICT","2017-2018",019905,"NEW BOSTON ISD",08,"TRADITIONAL ISD/CSD",1340,99,375,34,0,32,946,1340,761,13,-9999999,208,63,75
"STATE","DISTRICT","2017-2018",019906,"REDWATER ISD",08,"TRADITIONAL ISD/CSD",1106,107,319,9,0,9,434,1105,358,-9999999,0,114,11,88
"STATE","DISTRICT","2017-2018",019907,"TEXARKANA ISD",08,"TRADITIONAL ISD/CSD",7152,393,1729,493,288,205,4855,4587,3347,50,5,648,19,234
"STATE","DISTRICT","2017-2018",019908,"LIBERTY-EYLAU ISD",08,"TRADITIONAL ISD/CSD",2506,76,709,52,0,51,1985,1817,1538,6,-9999999,314,12,30
