,name,gsId,type,gradeRange,enrollment,address,ncesId,lat,lon,gsRating,parentRating
0,Blackshear Elementary School,527,public,PK-5,302,"1712 East 11th Street, 
Austin, TX  78702",480894000300,30.266968,-97.72217,8,5
1,Bryker Woods Elementary School,532,public,PK-6,400,"3309 Kerbey Lane, 
Austin, TX  78703",480894000305,30.304869,-97.750626,9,5
2,Casis Elementary School,535,public,PK-5,793,"2710 Exposition Boulevard, 
Austin, TX  78703",480894000308,30.304344,-97.76505,10,5
3,Maplewood Elementary School,557,public,PK-6,480,"3808 Maplewood Avenue, 
Austin, TX  78722",480894000330,30.293337,-97.714905,4,5
4,Mathews Elementary School,559,public,PK-6,425,"906 West Lynn Street, 
Austin, TX  78703",480894000332,30.278215,-97.760796,8,5
5,Metz Elementary School,562,public,PK-5,305,"84 Robert Martinez Junior Street, 
Austin, TX  78702",480894000335,30.254284,-97.721725,3,5
6,Oak Springs Elementary School,567,public,PK-5,333,"3601 Webberville Road, 
Austin, TX  78702",480894000340,30.271786,-97.70484,3,5
7,Ortega Elementary School,569,public,PK-5,316,"1135 Garland Avenue, 
Austin, TX  78721",480894000342,30.269997,-97.68428,5,5
8,Sims Elementary School,580,public,PK-6,267,"1203 Springdale Road, 
Austin, TX  78721",480894000356,30.27941,-97.6854,3,5
9,Zavala Elementary School,591,public,PK-6,350,"310 Robert Martinez Junior Street, 
Austin, TX  78702",480894000368,30.258272,-97.71954,4,5
10,Davis Elementary School,595,public,PK-5,798,"5214 Duval Road, 
Austin, TX  78727",480894002775,30.418247,-97.74218,6,5
11,Rosedale,598,public,PK-12,263,"2117 West 49th Street, 
Austin, TX  78756",480894005396,30.320051,-97.74019,,5
12,Garza Independence High School,618,public,9-12,192,"1600 Chicon Street, 
Austin, TX  78702",480894008060,30.277237,-97.72139,,5
13,Cedar Creek Elementary School,2201,public,K-5,473,"3301 Pinnacle Road, 
Austin, TX  78746",481776001546,30.269161,-97.80487,9,5
14,Valley View Elementary School,2205,public,K-5,509,"360 Loop Court, 
Austin, TX  78746",481776005699,30.302923,-97.83261,9,5
15,Bridge Point El,2208,public,K-5,739,"6401 Cedar Street, 
Austin, TX  78746",481776007742,30.340866,-97.80639,10,5
16,Lakeway Elementary School,4156,public,PK-5,716,"3322 Ranch Road 620 South, 
Austin, TX  78738",482647002520,30.327839,-97.96536,9,5
17,Northwest Elementary School,5412,public,PK-5,540,"14014 Thermal Drive, 
Austin, TX  78728",483483006310,30.431906,-97.67626,3,5
18,Canyon Creek Elementary School,5901,public,PK-5,417,"10210 Ember Glen Drive, 
Austin, TX  78726",483808008087,30.436604,-97.82424,10,5
19,Texas School For The Blind,9367,public,1-12,153,"1100 West 45th Street, 
Austin, TX  78756",480025209536,30.314978,-97.73932,1,5
20,Clayton Elementary School,10787,public,PK-5,876,"7525 La Crosse Avenue, 
Austin, TX  78739",480894011061,30.194855,-97.906334,10,5
