PEIMS DATA FOR SCHOOL YEAR 2014-2015
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"Grade 12",40
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade  9",824
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 10",674
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 11",610
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 12",559
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Pre-kindergarten",71
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Kindergarten",62
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  1",84
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  2",81
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  3",70
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  4",60
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  5",59
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  6",8
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  7",27
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  8",33
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  9",47
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 10",20
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 11",13
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 12",18
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade  9",631
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 10",549
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 11",567
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 12",477
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Pre-kindergarten",101
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Kindergarten",107
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  1",94
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  2",98
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  3",112
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  4",75
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  5",69
"2014-2015",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade  9",-9999999
"2014-2015",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 10",-9999999
"2014-2015",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 11",-9999999
"2014-2015",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 12",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  6",147
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  7",137
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  8",127
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Kindergarten",103
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  1",61
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  2",79
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  3",77
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  4",65
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  5",58
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  6",33
"2014-2015",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  7",15
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade  9",581
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 10",522
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 11",494
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 12",488
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  6",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  7",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  8",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  9",5
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 10",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 11",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 12",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  6",293
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  7",304
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  8",320
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Early Education",5
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Pre-kindergarten",30
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Kindergarten",111
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  1",129
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  2",129
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  3",113
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  4",126
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Grade  5",99
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Kindergarten",165
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  1",158
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  2",178
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  3",169
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  4",155
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Grade  5",167
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Pre-kindergarten",48
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Kindergarten",65
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  1",87
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  2",95
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  3",79
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  4",115
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Grade  5",97
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Kindergarten",59
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  1",69
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  2",91
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  3",88
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  4",99
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BARTON CREEK EL",227909105,"Grade  5",105
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Kindergarten",59
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  1",61
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  2",73
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  3",58
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  4",53
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  5",68
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Grade  6",47
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Pre-kindergarten",89
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Kindergarten",106
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  1",116
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  2",128
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  3",136
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  4",113
"2014-2015",13,"TRAVIS COUNTY","DEL VALLE ISD",227910,"BATY EL",227910108,"Grade  5",111
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Pre-kindergarten",42
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Kindergarten",72
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  1",73
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  2",43
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  3",61
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  4",32
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Grade  5",20
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Grade  6",311
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Grade  7",319
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK M S",227901054,"Grade  8",339
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Early Education",7
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Kindergarten",90
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Grade  1",98
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Grade  2",100
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Grade  3",115
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Grade  4",97
"2014-2015",13,"TRAVIS COUNTY","LAKE TRAVIS ISD",227913,"BEE CAVE EL",227913103,"Grade  5",116
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Pre-kindergarten",37
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Kindergarten",50
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  1",50
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  2",41
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  3",34
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  4",36
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"Grade  5",28
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Early Education",8
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Pre-kindergarten",115
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Kindergarten",115
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  1",102
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  2",110
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  3",119
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  4",107
"2014-2015",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLAKE MANOR EL",227907105,"Grade  5",87
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Early Education",6
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Pre-kindergarten",77
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Kindergarten",81
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  1",94
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  2",95
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  3",77
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  4",57
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"Grade  5",55
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Early Education",9
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Pre-kindergarten",103
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"Kindergarten",149
