PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2017-2018",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"HIGH SCHOOL","Grade 12",18
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade  9",826
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade 10",714
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade 11",637
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade 12",588
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Early Education",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Pre-kindergarten",56
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Kindergarten",61
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  1",78
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  2",65
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  3",72
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  4",73
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  5",69
"2017-2018",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Pre-kindergarten",112
"2017-2018",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Kindergarten",77
"2017-2018",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  1",82
