"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"2015-2016","NOT APPLICABLE",227901000,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",26,0,0,0,0,0,26,0,0,0,0,0,0
"2015-2016","AUSTIN H S",227901002,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2084,181,1174,56,0,54,597,15,871,0,0,174,166
"2015-2016","LANIER H S",227901004,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1615,70,1007,563,0,556,1407,1615,1247,-9999999,6,203,123
"2015-2016","MCCALLUM H S",227901005,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1738,294,875,77,0,74,502,19,736,-9999999,-9999999,165,112
"2015-2016","REAGAN H S",227901006,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1302,101,979,394,0,387,1040,1302,1001,0,11,156,98
"2015-2016","TRAVIS H S",227901007,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1291,77,874,313,0,293,1059,1290,1008,0,-9999999,187,154
"2015-2016","CROCKETT H S",227901008,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1462,130,552,157,0,154,870,38,894,-9999999,-9999999,200,140
"2015-2016","ANDERSON H S",227901009,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2270,196,1206,111,0,102,518,16,756,11,-9999999,167,116
"2015-2016","ALTERNATIVE LEARNING CENTER",227901012,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",116,-9999999,-9999999,27,0,26,94,-9999999,110,0,0,27,16
"2015-2016","BOWIE H S",227901013,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2912,274,1949,40,0,34,346,9,764,19,-9999999,212,152
"2015-2016","LBJ HIGH SCHOOL",227901014,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",874,74,749,147,0,140,680,874,641,0,0,125,104
"2015-2016","GARZA INDEPENDENCE H S",227901015,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",192,15,59,9,0,9,56,8,154,0,0,14,8
"2015-2016","AKINS H S",227901017,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",2713,193,2193,324,0,312,1798,43,1712,-9999999,0,306,241
"2015-2016","LASA H S",227901018,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1016,504,599,-9999999,0,-9999999,89,0,29,-9999999,0,6,14
"2015-2016","EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",551,30,370,138,0,137,479,551,458,0,0,100,83
"2015-2016","GRADUATION PREP ACADEMY TRAVIS",227901025,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",123,0,0,23,0,21,95,6,119,0,-9999999,17,18
"2015-2016","GRADUATION PREP ACADEMY LANIER",227901026,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",124,0,0,45,0,45,98,10,120,0,0,20,8
"2015-2016","TRAVIS COUNTY DAY SCHOOL",227901027,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",6,0,0,-9999999,0,-9999999,-9999999,-9999999,6,0,0,-9999999,0
"2015-2016","RICHARDS SCH FOR YOUNG WOMEN LEADE",227901028,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",787,250,787,39,0,39,457,0,122,0,0,7,10
"2015-2016","INTERNATIONAL H S",227901029,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",294,0,122,291,0,291,284,12,291,0,0,0,-9999999
"2015-2016","TRAVIS COUNTY JUVENILE DETENTION C",227901030,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",41,0,0,5,0,-9999999,20,-9999999,41,0,0,9,5
"2015-2016","PHOENIX ACADEMY",227901032,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",34,0,0,-9999999,0,-9999999,5,-9999999,34,0,0,7,-9999999
"2015-2016","LEADERSHIP ACADEMY",227901035,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",27,0,5,7,0,6,13,0,27,0,0,11,5
"2015-2016","TRAVIS COUNTY J J A E P",227901036,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",-9999999,0,0,-9999999,0,-9999999,-9999999,0,-9999999,0,0,0,-9999999
"2015-2016","FULMORE M S",227901043,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1007,236,287,245,0,237,684,1007,512,-9999999,-9999999,137,91
"2015-2016","KEALING M S",227901044,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1203,532,391,80,0,78,367,1203,287,-9999999,-9999999,88,54
"2015-2016","LAMAR M S",227901045,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",972,132,553,62,0,56,290,-9999999,307,0,0,95,76
"2015-2016","BURNET M S",227901046,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1020,40,529,530,0,527,925,1020,815,-9999999,-9999999,148,77
"2015-2016","O HENRY M S",227901047,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",931,99,312,64,0,62,221,-9999999,273,0,-9999999,77,89
"2015-2016","MARTIN M S",227901051,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",456,24,243,127,0,122,419,456,364,0,0,97,66
"2015-2016","MURCHISON MIDDLE",227901052,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1365,140,638,132,0,132,347,-9999999,420,6,0,103,79
"2015-2016","WEBB M S",227901053,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",699,23,222,387,0,384,666,699,575,0,0,130,48
"2015-2016","BEDICHEK MIDDLE",227901054,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",908,60,530,229,0,220,731,908,603,0,0,157,114
"2015-2016","DOBIE MIDDLE",227901055,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",634,19,295,282,0,278,579,634,492,0,0,114,46
"2015-2016","COVINGTON M S",227901057,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",641,47,257,104,0,99,400,7,354,0,-9999999,117,85
"2015-2016","MENDEZ M S",227901058,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",790,30,279,344,-9999999,333,741,790,652,0,0,104,73
"2015-2016","BAILEY M S",227901059,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",872,55,368,32,0,27,234,-9999999,288,0,-9999999,113,75
"2015-2016","SMALL M S",227901060,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1006,114,635,87,0,83,310,5,351,16,-9999999,107,68
"2015-2016","PAREDES M S",227901061,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",997,71,307,219,0,211,723,997,613,0,-9999999,120,82
"2015-2016","GORZYCKI MIDDLE",227901062,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1341,179,611,32,0,30,64,0,192,8,0,114,105
"2015-2016","GARCIA YMLA",227901064,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",425,33,272,170,0,168,399,425,339,0,-9999999,81,58
