"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","GRADEGRP1X","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL HOMELESS STUDENTS","TOTAL DYSLEXIC STUDENTS"
"2016-2017","ALLISON EL",227901101,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",460,17,0,216,198,15,392,460,332,0,0,57,5,20
"2016-2017","ANDREWS EL",227901102,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",572,13,0,431,387,44,537,572,495,0,-9999999,55,15,28
"2016-2017","BARTON HILLS EL",227901103,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",427,26,0,11,0,7,25,0,81,-9999999,0,20,0,29
"2016-2017","BECKER EL",227901104,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",431,84,0,70,368,8,166,431,176,0,-9999999,16,6,17
"2016-2017","BLACKSHEAR EL",227901105,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",381,17,0,85,31,53,268,381,197,-9999999,0,43,-9999999,22
"2016-2017","BLANTON EL",227901106,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",486,34,0,258,322,18,363,486,325,0,0,37,-9999999,20
"2016-2017","BRENTWOOD EL",227901107,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",644,64,0,69,109,17,140,-9999999,192,-9999999,-9999999,79,-9999999,49
"2016-2017","BROOKE EL",227901108,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",272,20,0,82,100,10,250,272,168,0,0,47,11,18
"2016-2017","BROWN EL",227901109,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",354,18,0,246,224,24,306,354,297,0,0,43,17,13
"2016-2017","BRYKER WOODS EL",227901110,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",443,24,0,14,0,13,43,0,95,0,0,33,0,27
