,Campus Name,2011-2012 Enrollment,2012-2013 Enrollment,2013-2014 Enrollment,2014-2015 Enrollment,2015-2016 Enrollment,2016-2017 Enrollment,2017-2018 Enrollment,2011 Enroll. Y-Y,2012 Enroll. Y-Y,2013 Enroll. Y-Y,2014 Enroll. Y-Y,2015 Enroll. Y-Y,2016 Enroll. Y-Y,2012,2013,2014,2015,2016,2017
0,ACES- ALTERNATIVE CENTER FOR ELEME,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
1,AKINS H S,2668.0,2583.0,2565.0,2667.0,2713.0,2680.0,2765.0,85.0,18.0,-102.0,-46.0,33.0,-85.0,-85.0,-103.0,-1.0,45.0,12.0,97.0
2,ALLAN EL,367.0,44.0,0.0,0.0,0.0,0.0,0.0,323.0,44.0,0.0,0.0,0.0,0.0,-323.0,-367.0,-367.0,-367.0,-367.0,-367.0
3,ALLISON EL,522.0,501.0,497.0,487.0,543.0,461.0,479.0,21.0,4.0,10.0,-56.0,82.0,-18.0,-21.0,-25.0,-35.0,21.0,-61.0,-43.0
4,ALTERNATIVE LEARNING CENTER,179.0,149.0,137.0,166.0,116.0,107.0,98.0,30.0,12.0,-29.0,50.0,9.0,9.0,-30.0,-42.0,-13.0,-63.0,-72.0,-81.0
5,ANDERSON H S,2031.0,2176.0,2185.0,2224.0,2270.0,2217.0,2222.0,-145.0,-9.0,-39.0,-46.0,53.0,-5.0,145.0,154.0,193.0,239.0,186.0,191.0
6,ANDREWS EL,709.0,671.0,697.0,658.0,595.0,573.0,504.0,38.0,-26.0,39.0,63.0,22.0,69.0,-38.0,-12.0,-51.0,-114.0,-136.0,-205.0
7,AUSTIN H S,2236.0,2159.0,2133.0,2085.0,2084.0,2145.0,2267.0,77.0,26.0,48.0,1.0,-61.0,-122.0,-77.0,-103.0,-151.0,-152.0,-91.0,31.0
8,AUSTIN ST HOSPITAL,18.0,23.0,18.0,17.0,18.0,16.0,18.0,-5.0,5.0,1.0,-1.0,2.0,-2.0,5.0,0.0,-1.0,0.0,-2.0,0.0
9,BAILEY M S,986.0,1001.0,948.0,917.0,872.0,899.0,1006.0,-15.0,53.0,31.0,45.0,-27.0,-107.0,15.0,-38.0,-69.0,-114.0,-87.0,20.0
10,BALDWIN EL,653.0,726.0,745.0,742.0,787.0,794.0,810.0,-73.0,-19.0,3.0,-45.0,-7.0,-16.0,73.0,92.0,89.0,134.0,141.0,157.0
11,BARANOFF EL,954.0,975.0,1002.0,994.0,982.0,1021.0,1015.0,-21.0,-27.0,8.0,12.0,-39.0,6.0,21.0,48.0,40.0,28.0,67.0,61.0
12,BARRINGTON EL,1118.0,634.0,542.0,588.0,627.0,542.0,547.0,484.0,92.0,-46.0,-39.0,85.0,-5.0,-484.0,-576.0,-530.0,-491.0,-576.0,-571.0
13,BARTON HILLS EL,390.0,385.0,415.0,419.0,407.0,428.0,455.0,5.0,-30.0,-4.0,12.0,-21.0,-27.0,-5.0,25.0,29.0,17.0,38.0,65.0
14,BECKER EL,281.0,317.0,324.0,345.0,378.0,431.0,437.0,-36.0,-7.0,-21.0,-33.0,-53.0,-6.0,36.0,43.0,64.0,97.0,150.0,156.0
15,BEDICHEK M S,1024.0,1042.0,1023.0,969.0,0.0,0.0,0.0,-18.0,19.0,54.0,969.0,0.0,0.0,18.0,-1.0,-55.0,-1024.0,-1024.0,-1024.0
16,BLACKSHEAR EL,236.0,226.0,220.0,276.0,292.0,382.0,378.0,10.0,6.0,-56.0,-16.0,-90.0,4.0,-10.0,-16.0,40.0,56.0,146.0,142.0
17,BLANTON EL,575.0,540.0,560.0,542.0,479.0,486.0,517.0,35.0,-20.0,18.0,63.0,-7.0,-31.0,-35.0,-15.0,-33.0,-96.0,-89.0,-58.0
18,BLAZIER EL,864.0,978.0,970.0,967.0,842.0,813.0,860.0,-114.0,8.0,3.0,125.0,29.0,-47.0,114.0,106.0,103.0,-22.0,-51.0,-4.0
19,BOONE EL,516.0,540.0,506.0,499.0,573.0,568.0,535.0,-24.0,34.0,7.0,-74.0,5.0,33.0,24.0,-10.0,-17.0,57.0,52.0,19.0
20,BOWIE H S,2870.0,2902.0,2895.0,2871.0,2912.0,2894.0,2880.0,-32.0,7.0,24.0,-41.0,18.0,14.0,32.0,25.0,1.0,42.0,24.0,10.0
21,BRENTWOOD EL,521.0,506.0,556.0,581.0,617.0,643.0,673.0,15.0,-50.0,-25.0,-36.0,-26.0,-30.0,-15.0,35.0,60.0,96.0,122.0,152.0
22,BROOKE EL,403.0,405.0,376.0,347.0,255.0,271.0,246.0,-2.0,29.0,29.0,92.0,-16.0,25.0,2.0,-27.0,-56.0,-148.0,-132.0,-157.0
23,BROWN EL,494.0,482.0,456.0,411.0,359.0,354.0,272.0,12.0,26.0,45.0,52.0,5.0,82.0,-12.0,-38.0,-83.0,-135.0,-140.0,-222.0
24,BRYKER WOODS EL,378.0,384.0,388.0,394.0,400.0,444.0,459.0,-6.0,-4.0,-6.0,-6.0,-44.0,-15.0,6.0,10.0,16.0,22.0,66.0,81.0
25,BURNET M S,1048.0,1119.0,1119.0,1138.0,1020.0,1040.0,967.0,-71.0,0.0,-19.0,118.0,-20.0,73.0,71.0,71.0,90.0,-28.0,-8.0,-81.0
26,CAMPBELL EL,326.0,359.0,313.0,253.0,220.0,192.0,187.0,-33.0,46.0,60.0,33.0,28.0,5.0,33.0,-13.0,-73.0,-106.0,-134.0,-139.0
27,CASEY EL,644.0,643.0,654.0,663.0,604.0,633.0,616.0,1.0,-11.0,-9.0,59.0,-29.0,17.0,-1.0,10.0,19.0,-40.0,-11.0,-28.0
28,CASIS EL,847.0,860.0,842.0,806.0,793.0,817.0,765.0,-13.0,18.0,36.0,13.0,-24.0,52.0,13.0,-5.0,-41.0,-54.0,-30.0,-82.0
29,CLAYTON EL,889.0,891.0,923.0,881.0,876.0,855.0,836.0,-2.0,-32.0,42.0,5.0,21.0,19.0,2.0,34.0,-8.0,-13.0,-34.0,-53.0
30,COOK EL,960.0,981.0,926.0,644.0,553.0,520.0,454.0,-21.0,55.0,282.0,91.0,33.0,66.0,21.0,-34.0,-316.0,-407.0,-440.0,-506.0
31,COVINGTON M S,733.0,661.0,664.0,634.0,641.0,0.0,0.0,72.0,-3.0,30.0,-7.0,641.0,0.0,-72.0,-69.0,-99.0,-92.0,-733.0,-733.0
32,COWAN EL,793.0,799.0,797.0,800.0,790.0,839.0,841.0,-6.0,2.0,-3.0,10.0,-49.0,-2.0,6.0,4.0,7.0,-3.0,46.0,48.0
33,CROCKETT H S,1547.0,1659.0,1561.0,1498.0,1462.0,1515.0,1466.0,-112.0,98.0,63.0,36.0,-53.0,49.0,112.0,14.0,-49.0,-85.0,-32.0,-81.0
34,CUNNINGHAM EL,491.0,445.0,422.0,405.0,414.0,410.0,393.0,46.0,23.0,17.0,-9.0,4.0,17.0,-46.0,-69.0,-86.0,-77.0,-81.0,-98.0
35,DAVIS EL,691.0,675.0,719.0,739.0,798.0,815.0,807.0,16.0,-44.0,-20.0,-59.0,-17.0,8.0,-16.0,28.0,48.0,107.0,124.0,116.0
36,DAWSON EL,335.0,335.0,345.0,335.0,380.0,340.0,351.0,0.0,-10.0,10.0,-45.0,40.0,-11.0,0.0,10.0,0.0,45.0,5.0,16.0
37,DOBIE M S,669.0,677.0,696.0,691.0,0.0,0.0,0.0,-8.0,-19.0,5.0,691.0,0.0,0.0,8.0,27.0,22.0,-669.0,-669.0,-669.0
38,DOSS EL,787.0,814.0,844.0,919.0,882.0,881.0,834.0,-27.0,-30.0,-75.0,37.0,1.0,47.0,27.0,57.0,132.0,95.0,94.0,47.0
39,EASTSIDE MEMORIAL AT THE JOHNSTON,626.0,545.0,506.0,625.0,551.0,553.0,491.0,81.0,39.0,-119.0,74.0,-2.0,62.0,-81.0,-120.0,-1.0,-75.0,-73.0,-135.0
40,FULMORE M S,1035.0,973.0,983.0,952.0,1007.0,1024.0,998.0,62.0,-10.0,31.0,-55.0,-17.0,26.0,-62.0,-52.0,-83.0,-28.0,-11.0,-37.0
41,GALINDO EL,669.0,689.0,640.0,591.0,585.0,590.0,586.0,-20.0,49.0,49.0,6.0,-5.0,4.0,20.0,-29.0,-78.0,-84.0,-79.0,-83.0
42,GARCIA MIDDLE,422.0,500.0,499.0,0.0,0.0,0.0,0.0,-78.0,1.0,499.0,0.0,0.0,0.0,78.0,77.0,-422.0,-422.0,-422.0,-422.0
43,GARZA INDEPENDENCE H S,289.0,243.0,212.0,190.0,192.0,205.0,169.0,46.0,31.0,22.0,-2.0,-13.0,36.0,-46.0,-77.0,-99.0,-97.0,-84.0,-120.0
44,GORZYCKI MIDDLE,1075.0,1136.0,1264.0,1330.0,1341.0,1279.0,1275.0,-61.0,-128.0,-66.0,-11.0,62.0,4.0,61.0,189.0,255.0,266.0,204.0,200.0
45,GOVALLE EL,479.0,521.0,557.0,545.0,499.0,470.0,407.0,-42.0,-36.0,12.0,46.0,29.0,63.0,42.0,78.0,66.0,20.0,-9.0,-72.0
46,GRAHAM EL,826.0,696.0,707.0,769.0,697.0,686.0,611.0,130.0,-11.0,-62.0,72.0,11.0,75.0,-130.0,-119.0,-57.0,-129.0,-140.0,-215.0
47,GULLETT EL,563.0,562.0,538.0,555.0,573.0,554.0,569.0,1.0,24.0,-17.0,-18.0,19.0,-15.0,-1.0,-25.0,-8.0,10.0,-9.0,6.0
48,HARRIS EL,746.0,712.0,692.0,667.0,629.0,614.0,630.0,34.0,20.0,25.0,38.0,15.0,-16.0,-34.0,-54.0,-79.0,-117.0,-132.0,-116.0
49,HART EL,966.0,815.0,733.0,717.0,692.0,699.0,683.0,151.0,82.0,16.0,25.0,-7.0,16.0,-151.0,-233.0,-249.0,-274.0,-267.0,-283.0
50,HIGHLAND PARK EL,650.0,677.0,672.0,640.0,623.0,653.0,642.0,-27.0,5.0,32.0,17.0,-30.0,11.0,27.0,22.0,-10.0,-27.0,3.0,-8.0
51,HILL EL,769.0,800.0,842.0,890.0,970.0,939.0,954.0,-31.0,-42.0,-48.0,-80.0,31.0,-15.0,31.0,73.0,121.0,201.0,170.0,185.0
52,HOUSTON EL,898.0,857.0,789.0,765.0,705.0,680.0,643.0,41.0,68.0,24.0,60.0,25.0,37.0,-41.0,-109.0,-133.0,-193.0,-218.0,-255.0
53,INTERNATIONAL H S,146.0,198.0,268.0,368.0,294.0,261.0,191.0,-52.0,-70.0,-100.0,74.0,33.0,70.0,52.0,122.0,222.0,148.0,115.0,45.0
54,JORDAN EL,855.0,733.0,751.0,760.0,674.0,710.0,662.0,122.0,-18.0,-9.0,86.0,-36.0,48.0,-122.0,-104.0,-95.0,-181.0,-145.0,-193.0
