PEIMS DATA FOR SCHOOL YEAR 2011-2012
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ACES- ALTERNATIVE CENTER FOR ELEME",227901115,"Kindergarten",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ACES- ALTERNATIVE CENTER FOR ELEME",227901115,"Grade  2",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ACES- ALTERNATIVE CENTER FOR ELEME",227901115,"Grade  3",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ACES- ALTERNATIVE CENTER FOR ELEME",227901115,"Grade  4",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ACES- ALTERNATIVE CENTER FOR ELEME",227901115,"Grade  5",6
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ACES- ALTERNATIVE CENTER FOR ELEME",227901115,"Grade  6",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade  9",723
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 10",689
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 11",622
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 12",634
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Pre-kindergarten",60
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Kindergarten",65
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Grade  1",64
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Grade  2",44
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Grade  3",47
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Grade  4",40
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Grade  5",45
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Early Education",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Pre-kindergarten",86
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Kindergarten",74
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  1",78
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  2",66
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  3",70
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  4",82
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  5",64
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  6",8
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  7",23
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  8",30
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  9",63
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 10",29
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 11",17
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 12",9
"2011-2012",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade  9",29
"2011-2012",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 10",26
"2011-2012",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 11",34
"2011-2012",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 12",27
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade  9",536
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 10",565
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 11",456
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 12",474
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Early Education",8
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Pre-kindergarten",121
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Kindergarten",137
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  1",96
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  2",109
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  3",77
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  4",87
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  5",74
"2011-2012",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade  9",-9999999
"2011-2012",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 10",5
"2011-2012",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 11",-9999999
"2011-2012",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 12",6
"2011-2012",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade  9",114
"2011-2012",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade 10",84
"2011-2012",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade 11",62
"2011-2012",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade 12",38
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Kindergarten",65
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  1",63
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  2",66
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  3",62
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  4",60
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  5",55
"2011-2012",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  6",29
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade  9",602
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 10",552
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 11",523
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 12",559
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  2",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  5",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  6",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  7",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  8",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  9",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 10",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 11",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 12",-9999999
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  6",320
"2011-2012",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Grade  7",320
