PEIMS DATA FOR SCHOOL YEAR 2016-2017
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2016-2017",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"HIGH SCHOOL","Grade 12",27
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade  9",784
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade 10",681
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade 11",633
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Grade 12",582
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Pre-kindergarten",58
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Kindergarten",65
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  1",76
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  2",63
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  3",76
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  4",65
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Grade  5",56
"2016-2017",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Pre-kindergarten",111
"2016-2017",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Kindergarten",91
"2016-2017",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  1",71
"2016-2017",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  2",57
"2016-2017",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"ELEMENTARY","Grade  3",66
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  6",6
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  7",12
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  8",15
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade  9",28
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade 10",22
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade 11",14
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Grade 12",10
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade  9",594
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade 10",544
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade 11",566
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Grade 12",513
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Pre-kindergarten",67
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Kindergarten",83
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  1",85
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  2",84
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  3",91
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  4",77
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Grade  5",84
