PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Black or African American",188
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"American Indian or Alaska Native",9
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Asian",68
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Hispanic",1979
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Native Hawaiian/Other or Pacific Islander",5
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Two or More Races",43
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"White",273
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Black or African American",26
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Asian",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Hispanic",466
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Two or More Races",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"White",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Black or African American",31
