,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
0,2014-2015,AUSTIN ISD,Austin High School,2085,599,11,792,High,0.5275779376498801
1,2014-2015,AUSTIN ISD,Lanier High School,1619,1386,1619,1220,High,100.0
2,2014-2015,AUSTIN ISD,Mccallum High School,1648,524,33,677,High,2.0024271844660193
3,2014-2015,AUSTIN ISD,Reagan High School,1229,1012,1229,879,High,100.0
4,2014-2015,AUSTIN ISD,Travis High School,1329,1138,1329,1019,High,100.0
5,2014-2015,AUSTIN ISD,Crockett High School,1498,993,19,847,High,1.2683578104138853
6,2014-2015,AUSTIN ISD,Anderson High School,2224,594,11,718,High,0.49460431654676257
7,2014-2015,AUSTIN ISD,Alternative Learning Center,166,134,9,166,High,5.421686746987952
8,2014-2015,AUSTIN ISD,Bowie High School,2871,408,2,729,High,0.06966213862765587
9,2014-2015,AUSTIN ISD,Lbj Highigh Schoolchool,853,711,853,572,High,100.0
10,2014-2015,AUSTIN ISD,Garza Independence High School,190,79,15,150,High,7.894736842105263
11,2014-2015,AUSTIN ISD,Akins High School,2667,1847,11,1555,High,0.4124484439445069
12,2014-2015,AUSTIN ISD,Lasa High School,1002,119,0,41,High,0.0
13,2014-2015,AUSTIN ISD,Eastside Memorial At The Johnston,625,553,625,500,High,100.0
14,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962405
15,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082
16,2014-2015,AUSTIN ISD,Travis County Day School,15,7,0,15,High,0.0
17,2014-2015,AUSTIN ISD,Richards Sch For Young Women Leade,764,451,0,94,High,0.0
18,2014-2015,AUSTIN ISD,International High School,368,343,10,356,High,2.717391304347826
19,2014-2015,AUSTIN ISD,Travis County Juvenile Detention C,58,34,0,58,Other,0.0
20,2014-2015,AUSTIN ISD,Phoenix Academy,32,2,0,32,High,0.0
21,2014-2015,AUSTIN ISD,Leadership Academy,39,15,0,39,High,0.0
22,2014-2015,AUSTIN ISD,Travis County J J A E P,2,2,2,2,Other,100.0
23,2014-2015,AUSTIN ISD,Fulmore Middle School,952,684,952,442,Middle,100.0
24,2014-2015,AUSTIN ISD,Kealing Middle School,1188,395,1188,262,Middle,100.0
25,2014-2015,AUSTIN ISD,Lamar Middle School,895,307,6,289,Middle,0.6703910614525139
26,2014-2015,AUSTIN ISD,Burnet Middle School,1138,1056,1138,835,Middle,100.0
27,2014-2015,AUSTIN ISD,O Henry Middle School,891,265,2,249,Middle,0.2244668911335578
28,2014-2015,AUSTIN ISD,Martin Middle School,555,521,555,417,Middle,100.0
29,2014-2015,AUSTIN ISD,Murchison Middle School,1363,378,7,403,Middle,0.5135730007336757
30,2014-2015,AUSTIN ISD,Webb Middle School,691,670,691,524,Middle,100.0
31,2014-2015,AUSTIN ISD,Bedichek Middle School,969,807,969,565,Middle,100.0
32,2014-2015,AUSTIN ISD,Dobie Middle School,691,633,691,463,Middle,100.0
33,2014-2015,AUSTIN ISD,Covington Middle School,634,412,2,319,Middle,0.31545741324921134
34,2014-2015,AUSTIN ISD,Mendez Middle School,842,801,842,642,Middle,100.0
35,2014-2015,AUSTIN ISD,Bailey Middle School,917,300,11,311,Middle,1.1995637949836424
36,2014-2015,AUSTIN ISD,Small Middle School,1003,323,10,301,Middle,0.9970089730807578
37,2014-2015,AUSTIN ISD,Paredes Middle School,1032,759,1032,585,Middle,100.0
38,2014-2015,AUSTIN ISD,Gorzycki Middle,1330,61,2,148,Middle,0.15037593984962405
39,2014-2015,AUSTIN ISD,School For Young Men,391,377,166,290,Other,42.45524296675192
40,2014-2015,AUSTIN ISD,Sadler Means Ywla,341,319,166,262,Middle,48.68035190615836
41,2014-2015,AUSTIN ISD,Allison Elementary School,487,466,487,350,Elementary,100.0
42,2014-2015,AUSTIN ISD,Andrews Elementary School,657,640,657,562,Elementary,100.0
43,2014-2015,AUSTIN ISD,Barton Hills Elementary School,419,34,2,77,Elementary,0.477326968973747
44,2014-2015,AUSTIN ISD,Becker Elementary School,344,169,344,154,Elementary,100.0
45,2014-2015,AUSTIN ISD,Blackshear Elementary School,276,252,276,167,Elementary,100.0
46,2014-2015,AUSTIN ISD,Blanton Elementary School,542,472,542,405,Elementary,100.0
47,2014-2015,AUSTIN ISD,Brentwood Elementary School,581,173,2,198,Elementary,0.3442340791738382
48,2014-2015,AUSTIN ISD,Brooke Elementary School,347,317,347,218,Elementary,100.0
49,2014-2015,AUSTIN ISD,Brown Elementary School,411,392,411,330,Elementary,100.0
50,2014-2015,AUSTIN ISD,Bryker Woods Elementary School,393,40,2,67,Elementary,0.5089058524173028
51,2014-2015,AUSTIN ISD,Campbelementary Schooll Elementary School,253,243,253,149,Elementary,100.0
52,2014-2015,AUSTIN ISD,Casis Elementary School,806,23,0,124,Elementary,0.0
53,2014-2015,AUSTIN ISD,Cunningham Elementary School,405,278,36,220,Elementary,8.88888888888889
54,2014-2015,AUSTIN ISD,Dawson Elementary School,335,289,335,195,Elementary,100.0
55,2014-2015,AUSTIN ISD,Daep- Elementary School,10,9,2,10,Elementary,20.0
56,2014-2015,AUSTIN ISD,Govalle Elementary School,547,497,547,394,Elementary,100.0
57,2014-2015,AUSTIN ISD,Gullett Elementary School,557,43,2,75,Elementary,0.3590664272890485
58,2014-2015,AUSTIN ISD,Harris Elementary School,667,651,667,568,Elementary,100.0
59,2014-2015,AUSTIN ISD,Highland Park Elementary School,640,37,0,98,Elementary,0.0
60,2014-2015,AUSTIN ISD,Joslin Elementary School,289,236,289,167,Elementary,100.0
