,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,name_x,lat_x,lon_x,type_x,name_y,lat_y,lon_y,type_y
0,2014-2015,AUSTIN ISD,Austin High School,2085,599,11,792,High,0.5275779376498801,Austin High School,30.273598,-97.76814,public,Austin High School,30.273598,-97.76814,public
1,2014-2015,AUSTIN ISD,Lanier High School,1619,1386,1619,1220,High,100.0,Lanier High School,30.360209,-97.70832,public,Lanier High School,30.360209,-97.70832,public
2,2014-2015,AUSTIN ISD,Mccallum High School,1648,524,33,677,High,2.0024271844660197,Mccallum High School,30.327484000000002,-97.72887,public,Mccallum High School,30.327484000000002,-97.72887,public
3,2014-2015,AUSTIN ISD,Reagan High School,1229,1012,1229,879,High,100.0,Reagan High School,30.324188,-97.69135,public,Reagan High School,30.324188,-97.69135,public
4,2014-2015,AUSTIN ISD,Travis High School,1329,1138,1329,1019,High,100.0,Travis High School,30.233839,-97.743256,public,Travis High School,30.233839,-97.743256,public
5,2014-2015,AUSTIN ISD,Crockett High School,1498,993,19,847,High,1.2683578104138853,Crockett High School,30.214724,-97.79739000000001,public,Crockett High School,30.214724,-97.79739000000001,public
6,2014-2015,AUSTIN ISD,Anderson High School,2224,594,11,718,High,0.4946043165467626,Anderson High School,30.37575,-97.75371,public,Anderson High School,30.37575,-97.75371,public
7,2014-2015,AUSTIN ISD,Alternative Learning Center,166,134,9,166,High,5.421686746987952,Alternative Learning Center,30.268434999999997,-97.71007,public,Alternative Learning Center,30.268434999999997,-97.71007,public
8,2014-2015,AUSTIN ISD,Bowie High School,2871,408,2,729,High,0.06966213862765587,Bowie High School,30.186369,-97.85873000000001,public,Bowie High School,30.186369,-97.85873000000001,public
9,2014-2015,AUSTIN ISD,Lbj Highigh Schoolchool,853,711,853,572,High,100.0,,,,,,,,
10,2014-2015,AUSTIN ISD,Garza Independence High School,190,79,15,150,High,7.894736842105262,Garza Independence High School,30.277237,-97.72139,public,Garza Independence High School,30.277237,-97.72139,public
11,2014-2015,AUSTIN ISD,Akins High School,2667,1847,11,1555,High,0.4124484439445069,Akins High School,30.148984999999996,-97.80185999999999,public,Akins High School,30.148984999999996,-97.80185999999999,public
12,2014-2015,AUSTIN ISD,Lasa High School,1002,119,0,41,High,0.0,Lasa High School,30.313496,-97.65666999999999,public,Lasa High School,30.313496,-97.65666999999999,public
13,2014-2015,AUSTIN ISD,Eastside Memorial At The Johnston,625,553,625,500,High,100.0,,,,,,,,
14,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
15,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
16,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
17,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
18,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
19,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
20,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
21,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
22,2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,Premier High School At Travis,30.233839,-97.743256,charter,Premier High School At Travis,30.233839,-97.743256,charter
23,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
24,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
25,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
26,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
27,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
28,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
29,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
30,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
31,2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,Premier High School At Lanier,30.360209,-97.70832,charter,Premier High School At Lanier,30.360209,-97.70832,charter
32,2014-2015,AUSTIN ISD,Travis County Day School,15,7,0,15,High,0.0,Travis County Day School,30.335696999999996,-97.68336,public,Travis County Day School,30.335696999999996,-97.68336,public
33,2014-2015,AUSTIN ISD,Richards Sch For Young Women Leade,764,451,0,94,High,0.0,,,,,,,,
34,2014-2015,AUSTIN ISD,International High School,368,343,10,356,High,2.717391304347826,International High School,30.257113,-97.68205999999999,public,International High School,30.257113,-97.68205999999999,public
35,2014-2015,AUSTIN ISD,Travis County Juvenile Detention C,58,34,0,58,Other,0.0,,,,,,,,
36,2014-2015,AUSTIN ISD,Phoenix Academy,32,2,0,32,High,0.0,Phoenix Academy,30.24414,-97.75614,public,Phoenix Academy,30.24414,-97.75614,public
37,2014-2015,AUSTIN ISD,Leadership Academy,39,15,0,39,High,0.0,Leadership Academy,30.235638,-97.75366,public,Leadership Academy,30.235638,-97.75366,public
38,2014-2015,AUSTIN ISD,Travis County J J A E P,2,2,2,2,Other,100.0,,,,,,,,
39,2014-2015,AUSTIN ISD,Fulmore Middle School,952,684,952,442,Middle,100.0,Fulmore Middle School,30.243927000000003,-97.750465,public,Fulmore Middle School,30.243927000000003,-97.750465,public
40,2014-2015,AUSTIN ISD,Kealing Middle School,1188,395,1188,262,Middle,100.0,Kealing Middle School,30.270937,-97.72178000000001,public,Kealing Middle School,30.270937,-97.72178000000001,public
41,2014-2015,AUSTIN ISD,Lamar Middle School,895,307,6,289,Middle,0.6703910614525139,Lamar Middle School,30.337774,-97.74058000000001,public,Lamar Middle School,30.337774,-97.74058000000001,public
42,2014-2015,AUSTIN ISD,Burnet Middle School,1138,1056,1138,835,Middle,100.0,Burnet Middle School,30.365074,-97.7256,public,Burnet Middle School,30.365074,-97.7256,public
43,2014-2015,AUSTIN ISD,O Henry Middle School,891,265,2,249,Middle,0.2244668911335578,O Henry Middle School,30.285491999999998,-97.77376,public,O Henry Middle School,30.285491999999998,-97.77376,public
44,2014-2015,AUSTIN ISD,Martin Middle School,555,521,555,417,Middle,100.0,Martin Middle School,30.253086,-97.72986999999999,public,Martin Middle School,30.253086,-97.72986999999999,public
45,2014-2015,AUSTIN ISD,Murchison Middle School,1363,378,7,403,Middle,0.5135730007336757,Murchison Middle School,30.353977,-97.75872,public,Murchison Middle School,30.353977,-97.75872,public
46,2014-2015,AUSTIN ISD,Webb Middle School,691,670,691,524,Middle,100.0,Webb Middle School,30.332413,-97.70740500000001,public,Webb Middle School,30.332413,-97.70740500000001,public
47,2014-2015,AUSTIN ISD,Bedichek Middle School,969,807,969,565,Middle,100.0,Bedichek Middle School,30.196163000000002,-97.78622,public,Bedichek Middle School,30.196163000000002,-97.78622,public
48,2014-2015,AUSTIN ISD,Dobie Middle School,691,633,691,463,Middle,100.0,Dobie Middle School,30.35455,-97.679375,public,Dobie Middle School,30.35455,-97.679375,public
