year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2014-2015,AUSTIN ISD,Austin High School,2085,599,11,792,High,0.5275779376498801,30.273598,-97.76814,public,1715 W CESAR CHAVEZ,78703.0,Austin High School
2014-2015,AUSTIN ISD,Lanier High School,1619,1386,1619,1220,High,100.0,30.360209,-97.70832,public,1201 PEYTON GIN RD,78758.0,Lanier High School
2014-2015,AUSTIN ISD,Mccallum High School,1648,524,33,677,High,2.0024271844660197,30.327484000000002,-97.72887,public,5600 SUNSHINE DR,78756.0,Mccallum High School
2014-2015,AUSTIN ISD,Reagan High School,1229,1012,1229,879,High,100.0,30.324188,-97.69135,public,7104 BERKMAN DR,78752.0,Reagan High School
2014-2015,AUSTIN ISD,Travis High School,1329,1138,1329,1019,High,100.0,30.233839,-97.743256,public,1211 E OLTORF ST,78704.0,Travis High School
2014-2015,AUSTIN ISD,Crockett High School,1498,993,19,847,High,1.2683578104138853,30.214724,-97.79739000000001,public,5601 MANCHACA RD,78745.0,Crockett High School
2014-2015,AUSTIN ISD,Anderson High School,2224,594,11,718,High,0.4946043165467626,30.37575,-97.75371,public,8403 MESA DR,78759.0,Anderson High School
2014-2015,AUSTIN ISD,Alternative Learning Center,166,134,9,166,High,5.421686746987952,30.268434999999997,-97.71007,public,900 NEAL ST,78702.0,Alternative Learning Center
2014-2015,AUSTIN ISD,Bowie High School,2871,408,2,729,High,0.06966213862765587,30.186369,-97.85873000000001,public,4103 SLAUGHTER LN,78749.0,Bowie High School
2014-2015,AUSTIN ISD,Lbj Highigh Schoolchool,853,711,853,572,High,100.0,,,,7309 LAZY CREEK DR,78724.0,Lbj Highigh Schoolchool
2014-2015,AUSTIN ISD,Garza Independence High School,190,79,15,150,High,7.894736842105262,30.277237,-97.72139,public,1600 CHICON,78702.0,Garza Independence High School
2014-2015,AUSTIN ISD,Akins High School,2667,1847,11,1555,High,0.4124484439445069,30.148984999999996,-97.80185999999999,public,10701 S 1ST ST,78748.0,Akins High School
2014-2015,AUSTIN ISD,Lasa High School,1002,119,0,41,High,0.0,30.313496,-97.65666999999999,public,7309 LAZY CREEK DR,78724.0,Lasa High School
2014-2015,AUSTIN ISD,Eastside Memorial At The Johnston,625,553,625,500,High,100.0,,,,,,
2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,30.233839,-97.743256,charter,,,
2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,30.233839,-97.743256,charter,,,
2014-2015,AUSTIN ISD,Premier High School At Travis,133,92,2,127,High,1.5037593984962403,30.233839,-97.743256,charter,,,
2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,30.360209,-97.70832,charter,,,
2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,30.360209,-97.70832,charter,,,
2014-2015,AUSTIN ISD,Premier High School At Lanier,122,76,2,113,High,1.639344262295082,30.360209,-97.70832,charter,,,
2014-2015,AUSTIN ISD,Travis County Day School,15,7,0,15,High,0.0,30.335696999999996,-97.68336,public,8011 CAMERON RD STE B,78754.0,Travis County Day School
2014-2015,AUSTIN ISD,Richards Sch For Young Women Leade,764,451,0,94,High,0.0,,,,,,
2014-2015,AUSTIN ISD,International High School,368,343,10,356,High,2.717391304347826,30.257113,-97.68205999999999,public,1012 ARTHUR STILES,78721.0,International High School
2014-2015,AUSTIN ISD,Travis County Juvenile Detention C,58,34,0,58,Other,0.0,,,,,,
2014-2015,AUSTIN ISD,Phoenix Academy,32,2,0,32,High,0.0,30.24414,-97.75614,public,400 W LIVE OAK,78704.0,Phoenix Academy
2014-2015,AUSTIN ISD,Leadership Academy,39,15,0,39,High,0.0,30.235638,-97.75366,public,2515 S CONGRESS,78704.0,Leadership Academy
2014-2015,AUSTIN ISD,Travis County J J A E P,2,2,2,2,Other,100.0,,,,1111 W 6TH ST,78703.0,Travis County J J A E P
2014-2015,AUSTIN ISD,Fulmore Middle School,952,684,952,442,Middle,100.0,30.243927000000003,-97.750465,public,201 E MARY ST,78704.0,Fulmore Middle School
2014-2015,AUSTIN ISD,Kealing Middle School,1188,395,1188,262,Middle,100.0,30.270937,-97.72178000000001,public,1607 PENNSYLVANIA AVE,78702.0,Kealing Middle School
2014-2015,AUSTIN ISD,Lamar Middle School,895,307,6,289,Middle,0.6703910614525139,30.337774,-97.74058000000001,public,6201 WYNONA AVE,78757.0,Lamar Middle School
2014-2015,AUSTIN ISD,Burnet Middle School,1138,1056,1138,835,Middle,100.0,30.365074,-97.7256,public,8401 HATHAWAY DR,78757.0,Burnet Middle School
2014-2015,AUSTIN ISD,O Henry Middle School,891,265,2,249,Middle,0.2244668911335578,30.285491999999998,-97.77376,public,,,
2014-2015,AUSTIN ISD,Martin Middle School,555,521,555,417,Middle,100.0,30.253086,-97.72986999999999,public,,,
2014-2015,AUSTIN ISD,Murchison Middle School,1363,378,7,403,Middle,0.5135730007336757,30.353977,-97.75872,public,,,
2014-2015,AUSTIN ISD,Webb Middle School,691,670,691,524,Middle,100.0,30.332413,-97.70740500000001,public,601 E ST JOHNS AVE,78752.0,Webb Middle School
2014-2015,AUSTIN ISD,Bedichek Middle School,969,807,969,565,Middle,100.0,30.196163000000002,-97.78622,public,,,
2014-2015,AUSTIN ISD,Dobie Middle School,691,633,691,463,Middle,100.0,30.35455,-97.679375,public,,,
