"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2015-2016",227803,"WAYSIDE SCHOOLS",227803001,"SCI-TECH PREPARATORY",227,"TRAVIS COUNTY",13,431,0,88,116,0,117,253,431,271,0,-9999999,49,11
"COUNTY","CAMPUS","2015-2016",227803,"WAYSIDE SCHOOLS",227803101,"EDEN PARK ACADEMY",227,"TRAVIS COUNTY",13,458,0,0,53,0,53,193,458,246,-9999999,0,26,13
"COUNTY","CAMPUS","2015-2016",227803,"WAYSIDE SCHOOLS",227803102,"REAL LEARNING ACADEMY",227,"TRAVIS COUNTY",13,693,0,0,322,147,171,480,693,484,-9999999,0,26,31
"COUNTY","CAMPUS","2015-2016",227803,"WAYSIDE SCHOOLS",227803103,"ALTAMIRA ACADEMY",227,"TRAVIS COUNTY",13,281,0,0,105,75,32,174,152,176,-9999999,0,10,-9999999
"COUNTY","CAMPUS","2015-2016",227804,"NYOS CHARTER SCHOOL",227804101,"NYOS CHARTER SCHOOL",227,"TRAVIS COUNTY",13,603,-9999999,236,77,0,76,207,603,147,6,0,49,17
"COUNTY","CAMPUS","2015-2016",227804,"NYOS CHARTER SCHOOL",227804102,"NYOS - MAGNOLIA MCCULLOUGH CAMPUS",227,"TRAVIS COUNTY",13,324,0,0,102,0,102,139,324,155,-9999999,0,17,-9999999
"COUNTY","CAMPUS","2015-2016",227805,"TEXAS EMPOWERMENT ACADEMY",227805041,"TEXAS EMPOWERMENT ACADEMY",227,"TRAVIS COUNTY",13,88,0,0,0,0,0,61,88,50,0,-9999999,12,-9999999
"COUNTY","CAMPUS","2015-2016",227805,"TEXAS EMPOWERMENT ACADEMY",227805101,"TEXAS EMPOWERMENT ACADEMY EL",227,"TRAVIS COUNTY",13,199,0,0,0,0,0,144,199,71,0,0,-9999999,0
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806005,"SETTLEMENT HOME",227,"TRAVIS COUNTY",13,35,0,0,0,0,0,35,0,35,0,35,20,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806009,"PATHFINDER CAMP",227,"TRAVIS COUNTY",13,17,0,0,-9999999,0,-9999999,17,0,17,0,16,8,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806015,"GEORGE M KOZMETSKY SCHOOL",227,"TRAVIS COUNTY",13,53,0,0,11,0,11,32,53,53,0,8,8,0
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806017,"ANNUNCIATION MATERNITY HOME",227,"TRAVIS COUNTY",13,11,0,-9999999,0,0,0,-9999999,0,11,0,0,-9999999,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806023,"PATHWAYS 3H CAMPUS",227,"TRAVIS COUNTY",13,30,0,0,-9999999,0,-9999999,30,0,30,0,29,22,0
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806024,"TNC CAMPUS (TEXAS NEUROREHABILITAT",227,"TRAVIS COUNTY",13,73,0,41,-9999999,0,-9999999,21,0,61,0,6,57,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806025,"METHODIST CHILDREN'S HOME",227,"TRAVIS COUNTY",13,134,0,64,7,0,7,134,0,134,0,18,18,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806029,"DEPELCHIN-RICHMOND",227,"TRAVIS COUNTY",13,16,0,0,0,0,0,16,0,16,0,15,6,0
