"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL HOMELESS STUDENTS","SUM_HOMELESS","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2016-2017",227803,"WAYSIDE SCHOOLS",227803001,"SCI-TECH PREPARATORY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,483,0,161,142,0,141,238,483,302,0,0,53,0,26
"COUNTY","CAMPUS","2016-2017",227803,"WAYSIDE SCHOOLS",227803101,"EDEN PARK ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,426,0,0,42,0,42,151,426,204,-9999999,-9999999,18,0,12
"COUNTY","CAMPUS","2016-2017",227803,"WAYSIDE SCHOOLS",227803102,"REAL LEARNING ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,686,0,0,322,244,74,437,686,437,-9999999,-9999999,24,0,29
"COUNTY","CAMPUS","2016-2017",227803,"WAYSIDE SCHOOLS",227803103,"ALTAMIRA ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,396,0,0,127,94,34,248,396,257,0,-9999999,11,0,-9999999
"COUNTY","CAMPUS","2016-2017",227804,"NYOS CHARTER SCHOOL",227804101,"NYOS CHARTER SCHOOL","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,634,5,183,72,0,72,175,634,264,9,0,64,-9999999,20
"COUNTY","CAMPUS","2016-2017",227804,"NYOS CHARTER SCHOOL",227804102,"NYOS - MAGNOLIA MCCULLOUGH CAMPUS","ELEMENTARY",227,"TRAVIS COUNTY",13,324,0,0,101,0,100,126,324,181,-9999999,0,17,-9999999,6
"COUNTY","CAMPUS","2016-2017",227805,"TEXAS EMPOWERMENT ACADEMY",227805041,"TEXAS EMPOWERMENT ACADEMY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,80,0,0,0,0,0,56,80,39,0,0,8,0,-9999999
"COUNTY","CAMPUS","2016-2017",227805,"TEXAS EMPOWERMENT ACADEMY",227805101,"TEXAS EMPOWERMENT ACADEMY EL","ELEMENTARY",227,"TRAVIS COUNTY",13,214,0,0,0,0,0,138,214,74,0,0,10,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806005,"SETTLEMENT HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,32,0,8,-9999999,0,-9999999,32,0,32,0,32,17,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806009,"PATHFINDER CAMP","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,20,0,20,-9999999,0,-9999999,20,0,20,0,20,12,0,-9999999
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806015,"GEORGE M KOZMETSKY SCHOOL","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,50,0,0,9,0,9,34,50,50,0,21,10,29,-9999999
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806017,"ANNUNCIATION MATERNITY HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,11,0,5,-9999999,0,-9999999,-9999999,0,11,0,-9999999,-9999999,0,-9999999
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806023,"PATHWAYS 3H CAMPUS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,16,0,0,0,0,0,16,0,16,0,16,9,0,-9999999
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806024,"TNC CAMPUS (TEXAS NEUROREHABILITAT","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,71,0,43,-9999999,0,-9999999,16,0,56,0,10,59,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806025,"METHODIST CHILDREN'S HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,120,0,51,7,0,7,119,0,120,0,19,19,0,-9999999
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806029,"DEPELCHIN-RICHMOND","ELEMENTARY",227,"TRAVIS COUNTY",13,12,0,0,0,0,0,12,0,12,0,11,8,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806030,"LAUREL RIDGE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,42,0,0,-9999999,0,-9999999,10,0,42,10,-9999999,19,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806031,"OLYMPIA HILLS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,25,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,-9999999
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806032,"HELPING HAND","ELEMENTARY",227,"TRAVIS COUNTY",13,24,0,0,0,0,0,24,0,24,0,22,15,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806034,"UT - UNIVERSITY CHARTER SCHOOL AT","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,13,0,0,-9999999,0,-9999999,-9999999,0,-9999999,0,0,-9999999,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806035,"UT - UNIVERSITY CHARTER SCHOOL AT","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,16,0,0,0,0,0,0,0,16,0,0,-9999999,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806037,"SHRINERS HOSPITALS FOR CHILDREN","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,-9999999,0,0,0,0,0,0,0,-9999999,0,0,0,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806040,"AUSTIN OAKS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,14,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806041,"UNLIMITED VISIONS AFTERCARE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,40,0,0,-9999999,0,-9999999,21,0,40,0,0,6,-9999999,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806042,"HOUSTON BEHAVIORAL HEALTHCARE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,7,0,0,0,0,0,0,0,7,0,-9999999,0,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806043,"UNIVERSITY H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,10,0,0,0,0,0,0,0,10,-9999999,0,-9999999,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806044,"GEORGETOWN BEHAVIORAL HEALTH INSTI","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,14,0,0,0,0,0,-9999999,0,-9999999,-9999999,0,-9999999,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806045,"CEDAR CREST","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,36,0,0,0,0,0,9,0,36,6,0,10,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806046,"SETON HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,8,0,0,-9999999,0,-9999999,6,0,8,0,8,-9999999,0,0
"COUNTY","CAMPUS","2016-2017",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806047,"CATES ACADEMY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,6,0,0,0,0,0,-9999999,0,0,0,0,0,0,0
"COUNTY","CAMPUS","2016-2017",227814,"CHAPARRAL STAR ACADEMY",227814001,"CHAPARRAL STAR ACADEMY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,378,0,121,21,0,21,0,0,58,-9999999,0,13,0,0
"COUNTY","CAMPUS","2016-2017",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816001,"HARMONY SCIENCE ACADEMY - AUSTIN","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,594,27,0,357,0,356,545,594,472,0,0,43,6,9
"COUNTY","CAMPUS","2016-2017",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816002,"HARMONY SCIENCE ACADEMY-PFLUGERVIL","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,881,89,259,188,0,186,476,881,428,0,0,43,-9999999,18
"COUNTY","CAMPUS","2016-2017",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816003,"HARMONY SCHOOL OF SCIENCE - AUSTIN","ELEMENTARY",227,"TRAVIS COUNTY",13,532,48,0,180,0,179,253,532,262,0,0,21,0,5
"COUNTY","CAMPUS","2016-2017",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816004,"HARMONY SCHOOL OF POLITICAL SCI AN","ELEMENTARY",227,"TRAVIS COUNTY",13,936,139,62,200,0,194,248,0,374,0,0,46,0,15
"COUNTY","CAMPUS","2016-2017",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816005,"HARMONY SCHOOL OF INNOVATION - AUS","ELEMENTARY",227,"TRAVIS COUNTY",13,450,32,0,201,0,198,337,450,306,0,0,28,-9999999,-9999999
"COUNTY","CAMPUS","2016-2017",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816101,"HARMONY SCHOOL OF EXCELLENCE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,578,51,107,188,0,187,449,578,407,0,0,65,0,31
"COUNTY","CAMPUS","2016-2017",227817,"CEDARS INTERNATIONAL ACADEMY",227817001,"CEDARS ACADEMY NEXT GENERATION H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,84,-9999999,39,17,0,17,40,0,23,0,0,9,-9999999,5
"COUNTY","CAMPUS","2016-2017",227817,"CEDARS INTERNATIONAL ACADEMY",227817101,"CEDARS INTERNATIONAL ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,371,12,0,176,18,158,282,371,208,-9999999,0,27,9,15
"COUNTY","CAMPUS","2016-2017",227819,"UNIVERSITY OF TEXAS ELEMENTARY CHA",227819101,"UNIVERSITY OF TEXAS EL CHARTER SCH","ELEMENTARY",227,"TRAVIS COUNTY",13,304,14,0,78,0,75,176,133,150,8,0,19,0,11
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820001,"KIPP AUSTIN COLLEGIATE","HIGH SCHOOL",227,"TRAVIS COUNTY",13,693,0,0,171,0,169,618,693,389,0,0,61,0,9
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820002,"KIPP AUSTIN BRAVE","HIGH SCHOOL",227,"TRAVIS COUNTY",13,198,0,0,82,0,77,172,-9999999,135,0,0,25,0,7
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820041,"KIPP AUSTIN COLLEGE PREP","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,434,0,0,217,0,214,400,434,297,0,0,36,0,-9999999
"COUNTY","CAMPUS","2016-2017",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820042,"KIPP AUSTIN ACADEMY OF ARTS & LETT","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,436,0,0,138,0,138,392,418,217,0,0,40,0,-9999999
