"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2014-2015",227803,"WAYSIDE SCHOOLS",227803001,"SCI-TECH PREPARATORY",227,"TRAVIS COUNTY",13,252,0,52,59,0,59,144,252,144,0,-9999999,33,5
"COUNTY","CAMPUS","2014-2015",227803,"WAYSIDE SCHOOLS",227803101,"EDEN PARK ACADEMY",227,"TRAVIS COUNTY",13,439,0,0,29,0,29,175,439,136,0,0,31,5
"COUNTY","CAMPUS","2014-2015",227803,"WAYSIDE SCHOOLS",227803102,"REAL LEARNING ACADEMY",227,"TRAVIS COUNTY",13,677,0,0,293,127,161,495,677,416,-9999999,0,28,9
"COUNTY","CAMPUS","2014-2015",227804,"NYOS CHARTER SCHOOL",227804101,"NYOS CHARTER SCHOOL",227,"TRAVIS COUNTY",13,597,-9999999,226,64,0,64,211,597,204,6,0,56,17
"COUNTY","CAMPUS","2014-2015",227804,"NYOS CHARTER SCHOOL",227804102,"NYOS - MAGNOLIA MCCULLOUGH CAMPUS",227,"TRAVIS COUNTY",13,325,0,0,111,0,111,164,325,215,-9999999,-9999999,15,-9999999
"COUNTY","CAMPUS","2014-2015",227805,"TEXAS EMPOWERMENT ACADEMY",227805041,"TEXAS EMPOWERMENT ACADEMY",227,"TRAVIS COUNTY",13,108,0,0,0,0,0,108,108,40,0,0,11,-9999999
"COUNTY","CAMPUS","2014-2015",227805,"TEXAS EMPOWERMENT ACADEMY",227805101,"TEXAS EMPOWERMENT ACADEMY EL",227,"TRAVIS COUNTY",13,163,0,0,0,0,0,163,163,68,0,0,-9999999,-9999999
"COUNTY","CAMPUS","2014-2015",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806005,"SETTLEMENT HOME",227,"TRAVIS COUNTY",13,34,0,27,0,0,0,32,-9999999,34,0,34,17,-9999999
"COUNTY","CAMPUS","2014-2015",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806009,"PATHFINDER CAMP",227,"TRAVIS COUNTY",13,18,0,0,-9999999,0,-9999999,18,0,18,0,17,12,-9999999
"COUNTY","CAMPUS","2014-2015",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806015,"GEORGE M KOZMETSKY SCHOOL",227,"TRAVIS COUNTY",13,56,0,0,13,0,13,38,55,54,0,13,5,-9999999
